% function evaluation | noise-free fitness - Fopt (-4.620900000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.415851736e+003 +2.415851736e+003 +1.953761736e+003 +1.953761736e+003 +4.2085e+000 -3.5081e+000 +2.0692e+000 +9.0518e-001 -3.1872e+000 +7.2719e-001 +2.7722e+000 +8.1134e-001 -2.8054e+000 +9.7177e-001 -1.1514e+000 -4.0379e+000 -3.1159e+000 +2.0342e-001 -5.7316e-001 -6.1743e-001 +3.7306e+000 -1.2398e+000 +2.4973e+000 -4.1954e+000
2 +1.387358271e+003 +1.387358271e+003 +9.252682705e+002 +9.252682705e+002 -1.6461e-001 -2.6549e+000 -4.1771e+000 -2.4843e+000 +2.5623e+000 -3.6291e+000 +3.1746e+000 +4.1817e+000 -2.5372e+000 +3.2252e+000 +1.6676e+000 -1.4954e+000 -2.8988e-001 +4.7920e-001 +3.0146e+000 -2.2608e+000 -4.3424e+000 +3.2704e+000 -3.4024e+000 -3.5452e+000
70 +8.357606243e+002 +8.357606243e+002 +3.736706243e+002 +3.736706243e+002 +2.3903e-001 +4.3008e+000 +1.1667e-001 +2.7706e+000 -1.5346e+000 +2.6181e+000 +1.1775e+000 +4.8410e+000 -4.5588e-001 +8.5414e-001 +8.8096e-001 -1.7528e+000 -3.5663e+000 -4.7264e-001 -2.6969e+000 -2.2005e+000 -5.0000e+000 +1.2115e+000 +4.2618e-002 +2.7268e+000
82 +6.042247054e+002 +6.042247054e+002 +1.421347054e+002 +1.421347054e+002 -3.8843e-002 -4.7530e-001 -2.8983e+000 -2.0409e+000 -5.4552e-003 +3.1047e+000 +3.1746e+000 +2.4908e+000 +1.9033e+000 +4.6638e-001 +1.4666e+000 -8.1914e-001 -1.1452e+000 -7.5342e-001 -4.5360e-001 -3.0451e+000 -4.7607e+000 +1.3446e+000 -2.0719e+000 +0.0000e+000
286 +3.486521560e+002 +3.486521560e+002 -1.134378440e+002 -1.134378440e+002 -3.4941e+000 +2.3221e+000 +1.2578e+000 +1.4862e+000 -9.9678e-001 +1.2034e+000 -3.0583e+000 +2.5899e+000 -2.6373e+000 +1.6695e+000 -4.3264e+000 -4.4260e+000 -1.5807e-001 -4.3520e+000 -1.0138e+000 -1.9761e+000 +1.0668e+000 +3.7144e+000 -2.8815e+000 +1.9670e+000
702 +2.276998433e+002 +2.276998433e+002 -2.343901567e+002 -2.343901567e+002 -2.5662e+000 -2.1572e-001 +3.1529e+000 +5.0823e-001 +1.7949e-001 +1.7340e+000 +1.7486e+000 +2.6487e+000 -6.0039e-002 +6.0498e-001 -2.3943e+000 -3.2252e+000 +1.7452e+000 -3.6146e+000 -9.7499e-001 -3.1176e+000 +7.6120e-001 +2.9737e+000 -2.5800e+000 +1.4283e+000
2372 +1.575823007e+002 +1.575823007e+002 -3.045076993e+002 -3.045076993e+002 -2.3421e+000 +5.6407e-001 +2.1883e+000 -7.6243e-001 +5.5375e-002 +2.2796e+000 +2.7737e+000 +3.3731e+000 +2.9964e-001 +6.7494e-001 -2.1463e+000 -4.3109e+000 -2.4861e+000 -3.1399e+000 -1.8636e+000 -3.0496e+000 +0.0000e+000 +2.9933e+000 -2.4225e+000 +8.4985e-001
4724 +9.379838552e+001 +9.379838552e+001 -3.682916145e+002 -3.682916145e+002 -2.1673e+000 +1.3622e+000 +3.9742e+000 -7.0795e-001 +1.3763e+000 +2.2968e+000 +1.7714e+000 +3.3704e+000 +1.7582e-001 +6.1833e-001 -2.8307e+000 -4.3205e+000 -1.4162e+000 -3.4234e+000 -1.8600e+000 -3.5357e+000 -6.7289e-001 +2.0922e+000 -2.4269e+000 +2.2199e+000
6756 +6.210992209e+001 +6.210992209e+001 -3.999800779e+002 -3.999800779e+002 -2.2562e+000 +1.3243e+000 +4.1082e+000 -1.9821e-001 +1.3776e+000 +2.1980e+000 +1.7645e+000 +3.1908e+000 +1.7565e-001 +5.8308e-001 -2.8252e+000 -4.3180e+000 -1.4118e+000 -3.3756e+000 -1.8041e+000 -3.4624e+000 -6.8685e-001 +2.2013e+000 -2.4196e+000 +2.1946e+000
9010 +3.962615865e+001 +3.962615865e+001 -4.224638413e+002 -4.224638413e+002 -2.2866e+000 +1.3546e+000 +4.0901e+000 -1.7931e-001 +1.3776e+000 +2.2072e+000 +1.7608e+000 +3.1739e+000 +1.0881e+000 +6.0126e-001 -2.7551e+000 -4.3253e+000 -1.1424e+000 -3.3615e+000 -1.8158e+000 -3.4771e+000 -7.3381e-001 +2.1735e+000 -2.4539e+000 +2.1682e+000
