% function evaluation | noise-free fitness - Fopt (2.997000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.051502869e+03 +3.051502869e+03 +3.081472869e+03 +3.081472869e+03 -1.6268e+00 +4.4734e+00 +7.3426e-01 -1.6672e+00 -2.0157e+00 -1.1142e+00 +1.2843e+00 +2.0404e+00 +4.4466e+00 -3.6254e+00 +3.7342e+00 +2.7128e+00 +4.9746e+00 -2.0207e-01 +2.0931e+00 -1.7560e+00 +1.7599e+00 +1.4345e+00 +2.3520e+00 -3.8345e-01
17 +2.479159441e+03 +2.479159441e+03 +2.509129441e+03 +2.509129441e+03 +4.0565e+00 +1.8842e+00 -4.6357e-01 +3.0822e+00 +1.3254e+00 +2.9820e+00 -3.6519e+00 +4.6942e-01 -3.7547e+00 -2.3034e+00 -2.4640e+00 +3.8420e+00 +8.8572e-01 +3.5711e+00 -1.6769e+00 -4.3131e-01 +1.5435e+00 -1.7810e+00 -2.4947e+00 -9.4761e-01
4515 +1.569814050e+03 +1.569814050e+03 +1.599784050e+03 +1.599784050e+03 +1.5841e+00 +1.5691e+00 -9.0455e-01 -2.3283e+00 +3.1956e+00 +2.4595e+00 -4.5075e+00 -1.9384e+00 -2.0738e+00 +2.0020e+00 -3.0141e-01 -6.0682e-01 -1.6403e+00 +2.2039e+00 -7.6580e-01 +1.8793e-02 -3.9663e+00 -5.7324e-01 +3.4729e+00 -3.9992e+00
15968 +9.410024361e+02 +9.410024361e+02 +9.709724361e+02 +9.709724361e+02 -2.2054e+00 -1.2151e+00 -3.7340e+00 -2.3987e+00 +2.0106e+00 +3.5090e+00 -3.9301e+00 -3.4901e+00 +2.2526e+00 -1.0727e-01 +3.5161e+00 -1.5546e+00 +4.3716e+00 -2.2995e-01 +3.4715e-01 +2.9904e+00 -3.1960e+00 -1.1679e+00 +1.5487e+00 -3.3693e+00
35407 +6.256897051e+02 +6.256897051e+02 +6.556597051e+02 +6.556597051e+02 +1.0800e+00 -1.3064e+00 -3.7438e+00 -2.3987e+00 +3.9713e+00 +4.2263e+00 -3.5361e+00 -4.6573e+00 +9.9247e-01 -3.1138e+00 -1.7680e-01 -1.9958e+00 +3.0466e+00 +2.0270e+00 -1.1317e+00 +6.6640e-01 -1.2062e+00 +7.3511e-01 +1.9643e+00 -3.7977e+00
49581 +3.529942357e+02 +3.529942357e+02 +3.829642357e+02 +3.829642357e+02 +8.9254e-01 -1.3016e+00 -4.2760e+00 -2.4436e+00 +3.0923e+00 +2.8666e+00 -3.4640e+00 -2.7152e+00 +9.9496e-01 -1.5830e+00 +1.2047e+00 -1.9958e+00 +3.7438e+00 +2.6934e+00 -9.5701e-01 +2.5480e+00 -1.7549e+00 -1.4742e-01 +8.3188e-01 -2.5141e+00
65204 +2.245966197e+02 +2.245966197e+02 +2.545666197e+02 +2.545666197e+02 +5.1677e-01 -1.5983e+00 -4.0279e+00 -1.5130e+00 +3.3529e+00 +4.2263e+00 -4.2117e+00 -2.7592e+00 +1.7104e+00 -1.8775e+00 +1.9577e+00 -1.5546e+00 +4.3746e+00 +2.3685e+00 -1.7147e+00 +2.4062e+00 -2.1297e+00 -1.8453e+00 +1.5487e+00 -3.3693e+00
70927 +1.559556428e+02 +1.559556428e+02 +1.859256428e+02 +1.859256428e+02 +8.9254e-01 -1.5885e+00 -3.8704e+00 -1.6931e+00 +3.1624e+00 +3.6312e+00 -3.7294e+00 -2.6401e+00 +1.1065e+00 -2.1655e+00 +1.8756e+00 -1.9408e+00 +4.1797e+00 +2.5747e+00 -1.5440e+00 +2.7980e+00 -1.8947e+00 -1.3800e+00 +1.6133e+00 -2.8677e+00
99073 +9.035575402e+01 +9.035575402e+01 +1.203257540e+02 +1.203257540e+02 +5.9490e-01 -1.5983e+00 -3.8705e+00 -1.6931e+00 +3.1624e+00 +3.6312e+00 -3.7294e+00 -2.6401e+00 +1.1065e+00 -1.7013e+00 +1.7160e+00 -1.8899e+00 +4.1643e+00 +2.3783e+00 -1.7147e+00 +2.6359e+00 -2.1682e+00 -1.2806e+00 +1.6133e+00 -3.3116e+00
117511 +6.077553148e+01 +6.077553148e+01 +9.074553148e+01 +9.074553148e+01 +5.9490e-01 -1.5982e+00 -3.8705e+00 -1.8494e+00 +3.1618e+00 +3.6312e+00 -3.7294e+00 -2.6401e+00 +1.1065e+00 -1.7144e+00 +1.7160e+00 -1.9408e+00 +4.1797e+00 +2.3783e+00 -1.5440e+00 +2.5577e+00 -2.3753e+00 -1.1662e+00 +1.3685e+00 -3.3116e+00
142273 +3.782768938e+01 +3.782768938e+01 +6.779768938e+01 +6.779768938e+01 +7.3625e-01 -1.5836e+00 -3.8308e+00 -1.8494e+00 +3.1636e+00 +3.6312e+00 -3.7293e+00 -2.6402e+00 +1.1071e+00 -1.7144e+00 +1.5065e+00 -1.8902e+00 +4.1844e+00 +2.3685e+00 -1.6366e+00 +2.5480e+00 -2.3486e+00 -1.3800e+00 +1.3732e+00 -3.1391e+00
176822 +2.432729218e+01 +2.432729218e+01 +5.429729218e+01 +5.429729218e+01 +5.9489e-01 -1.6373e+00 -3.7924e+00 -1.8494e+00 +3.1618e+00 +3.6324e+00 -3.7294e+00 -2.6401e+00 +1.1065e+00 -1.7144e+00 +1.5162e+00 -1.8899e+00 +4.1643e+00 +2.4564e+00 -1.5489e+00 +2.5480e+00 -2.3573e+00 -1.3587e+00 +1.3929e+00 -3.1391e+00
226354 +1.574313917e+01 +1.574313917e+01 +4.571313917e+01 +4.571313917e+01 +6.5812e-01 -1.6763e+00 -3.7924e+00 -1.8543e+00 +3.1624e+00 +3.6116e+00 -3.7294e+00 -2.6010e+00 +1.1260e+00 -1.7046e+00 +1.5431e+00 -1.8899e+00 +4.1631e+00 +2.4564e+00 -1.5538e+00 +2.5675e+00 -2.3574e+00 -1.3800e+00 +1.4214e+00 -3.1554e+00
281617 +9.732788574e+00 +9.732788574e+00 +3.970278857e+01 +3.970278857e+01 +6.5873e-01 -1.6763e+00 -3.7633e+00 -1.8592e+00 +3.1618e+00 +3.6012e+00 -3.7489e+00 -2.6010e+00 +1.1260e+00 -1.7046e+00 +1.5431e+00 -1.9094e+00 +4.1649e+00 +2.4564e+00 -1.5583e+00 +2.6359e+00 -2.3574e+00 -1.3800e+00 +1.4318e+00 -3.1391e+00
399494 +6.276983382e+00 +6.276983382e+00 +3.624698338e+01 +3.624698338e+01 +6.6305e-01 -1.6765e+00 -3.7632e+00 -1.8640e+00 +3.1569e+00 +3.6012e+00 -3.7495e+00 -2.5980e+00 +1.1358e+00 -1.7071e+00 +1.5430e+00 -1.9094e+00 +4.1545e+00 +2.4562e+00 -1.5623e+00 +2.6163e+00 -2.3476e+00 -1.3813e+00 +1.4411e+00 -3.1456e+00
% function evaluation | noise-free fitness - Fopt (-5.171000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.870735544e+03 +2.870735544e+03 +2.819025544e+03 +2.819025544e+03 +2.0255e+00 +3.8394e+00 -6.1049e-01 +3.2321e+00 -2.0586e+00 +3.1611e+00 +1.6997e+00 -3.1133e+00 -3.6093e+00 -7.9899e-01 +4.2619e+00 -6.7442e-01 -4.0581e+00 +1.0453e+00 +3.7878e+00 -2.3664e+00 +2.2430e+00 +1.0473e+00 +3.1867e+00 +6.9318e-01
15 +2.415448608e+03 +2.415448608e+03 +2.363738608e+03 +2.363738608e+03 -6.6407e-01 +1.7166e+00 -1.2323e+00 -4.0299e+00 +1.5784e+00 +3.5713e+00 -4.9858e+00 +4.6877e+00 +4.7132e+00 +4.2868e-01 -2.7320e+00 -4.7947e-01 +3.5340e+00 +3.0759e+00 -1.2026e+00 +1.5792e+00 -4.6993e+00 +2.2784e+00 +2.3951e+00 +4.5798e+00
7810 +1.497333971e+03 +1.497333971e+03 +1.445623971e+03 +1.445623971e+03 +1.0204e+00 -3.5594e+00 -2.6918e+00 -4.6430e+00 +2.1173e+00 +3.7699e+00 -4.3607e+00 +3.2162e+00 -1.5949e+00 +2.8751e+00 +4.4808e+00 -9.6231e-02 +3.3157e-01 +5.1396e-01 -9.9160e-01 +1.8889e+00 -3.7513e+00 +4.7187e-02 -9.5920e-01 +2.0589e+00
16492 +9.907173695e+02 +9.907173695e+02 +9.390073695e+02 +9.390073695e+02 -4.9899e-01 +1.7028e-01 -3.4137e+00 -4.6179e+00 +2.0639e+00 +2.4880e+00 -3.6653e+00 +3.1839e+00 -2.8954e+00 +1.1182e+00 +2.9079e+00 +7.5221e-01 +2.7131e+00 +2.7823e-01 -3.7945e+00 +2.2582e+00 -3.3081e+00 +3.9850e+00 +3.0854e+00 +4.2728e-01
