% function evaluation | noise-free fitness - Fopt (-2.098800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.480704918e+07 +3.480704918e+07 +3.480683930e+07 -2.098800000e+02 +1.6066e+00 +4.1319e+00 +3.7457e+00 +2.7958e+00 -5.7263e-01 +3.0237e+00 -4.6460e+00 -4.6310e+00 -4.8960e+00 +1.9271e+00 +3.2652e+00 +2.6479e+00 +4.0786e+00 -5.7054e-01 -1.5936e+00 +4.4946e+00 +5.5535e-01 -8.1922e-01 +4.5893e+00 +1.1656e+00
386 +9.271543064e+05 +9.271543064e+05 +9.269444264e+05 -2.098800000e+02 -4.9044e+00 +3.5493e+00 -1.2917e-01 +1.1256e+00 +7.1620e-01 +4.3209e+00 -3.8718e+00 -3.2051e+00 -2.5713e+00 +2.0108e+00 +4.4859e+00 -4.1495e+00 -3.9520e-01 -6.2889e-01 -4.2513e+00 -4.5641e+00 -1.4527e+00 +2.1185e+00 -2.3237e+00 +1.7620e+00
775 +5.752105486e+05 +5.752105486e+05 +5.750006686e+05 -2.098800000e+02 +5.2054e-01 +4.3060e+00 -2.6619e+00 -1.1299e+00 -2.3553e+00 +4.7517e+00 -4.6261e+00 +6.3578e-01 -3.4520e+00 +3.1823e+00 -3.6460e+00 -3.3928e+00 +4.3429e+00 +2.5742e+00 -1.2604e+00 -3.0228e+00 -2.7978e+00 +2.1185e+00 -2.3237e+00 +1.7620e+00
964 +3.268295026e+05 +3.268295026e+05 +3.266196226e+05 -2.098800000e+02 -4.9044e+00 +3.5493e+00 +4.7176e+00 -4.0383e+00 -3.8903e+00 +7.7111e-01 +3.7554e+00 -2.7472e+00 +1.2666e+00 -4.6941e+00 +1.7284e+00 +2.6394e+00 +2.7222e+00 -6.2889e-01 -1.2604e+00 -3.0228e+00 -2.7978e+00 +2.1185e+00 -2.3237e+00 +1.7620e+00
1346 +1.945235380e+05 +1.945235380e+05 +1.943136580e+05 -2.098800000e+02 +5.2054e-01 +4.3613e+00 -2.6619e+00 -1.1299e+00 -2.3553e+00 +4.7517e+00 +3.7554e+00 -2.7472e+00 +1.2666e+00 -4.6941e+00 +1.7284e+00 +2.6394e+00 +2.7222e+00 -6.2889e-01 -1.2604e+00 -3.0228e+00 -2.7978e+00 +2.5038e+00 -2.3237e+00 +1.7620e+00
1530 +1.583895920e+05 +1.583895920e+05 +1.581797120e+05 -2.098800000e+02 -4.9044e+00 +3.5493e+00 +4.6629e+00 -4.0383e+00 -3.8903e+00 +7.7111e-01 -2.5955e+00 -2.7472e+00 +3.2197e+00 -2.4191e+00 -2.5129e-01 +2.6394e+00 +2.7222e+00 -6.2889e-01 -1.2604e+00 -3.8732e+00 -2.7978e+00 +2.5038e+00 -2.3237e+00 +1.7620e+00
2086 +7.450686615e+04 +7.450686615e+04 +7.429698615e+04 -2.098800000e+02 +5.2054e-01 +4.3613e+00 +4.7176e+00 -4.0383e+00 -3.8903e+00 +7.7111e-01 +3.7554e+00 +6.3578e-01 -4.3620e+00 +3.1823e+00 +1.7284e+00 +2.6394e+00 +3.1685e+00 -6.2889e-01 -1.2604e+00 -3.8890e+00 -2.7978e+00 +2.8195e+00 -2.3237e+00 +1.7620e+00
2470 +5.027056234e+04 +5.027056234e+04 +5.006068234e+04 -2.098800000e+02 +5.2054e-01 +4.3613e+00 -2.6619e+00 -1.1299e+00 -2.3553e+00 +4.7517e+00 +3.7554e+00 +6.3578e-01 -4.3620e+00 +3.1823e+00 +1.7284e+00 +2.6394e+00 +2.7222e+00 -1.5165e+00 -1.2604e+00 -3.8890e+00 -2.7978e+00 +2.8195e+00 -2.3237e+00 +1.8664e+00
2860 +3.827253889e+04 +3.827253889e+04 +3.806265889e+04 -2.098800000e+02 +5.2054e-01 +4.3613e+00 -2.6619e+00 -1.1299e+00 -2.3553e+00 +7.7111e-01 +3.7554e+00 -2.7472e+00 -4.3620e+00 +3.1823e+00 +1.7284e+00 +2.6329e+00 +3.1685e+00 -8.1309e-01 -1.2604e+00 -3.8890e+00 -2.7978e+00 +2.9452e+00 -2.3237e+00 +1.8664e+00
3429 +2.319827249e+04 +2.319827249e+04 +2.298839249e+04 -2.098800000e+02 +5.2054e-01 +4.3613e+00 -2.6619e+00 -1.1299e+00 -2.3553e+00 +7.7111e-01 +3.7554e+00 -2.7472e+00 -4.0837e+00 +3.1823e+00 +1.7284e+00 +2.3400e+00 +3.5415e+00 -1.5165e+00 -1.2604e+00 -3.8890e+00 -2.8840e+00 +3.1796e+00 -2.3237e+00 +1.8664e+00
4009 +1.318548862e+04 +1.318548862e+04 +1.297560862e+04 -2.098800000e+02 +5.2054e-01 +4.3613e+00 -2.9697e+00 -1.0158e+00 -7.6352e-01 +4.7517e+00 +3.7554e+00 +6.3578e-01 -3.1830e+00 +3.1823e+00 +1.7284e+00 +2.3400e+00 +3.5415e+00 -1.5165e+00 -1.4173e+00 -3.5934e+00 -3.0423e+00 +3.0953e+00 -2.3237e+00 +1.8664e+00
4392 +9.886060265e+03 +9.886060265e+03 +9.676180265e+03 -2.098800000e+02 +5.2054e-01 +4.3613e+00 -2.9697e+00 -1.0158e+00 -7.6352e-01 +4.7517e+00 +3.7554e+00 +6.3578e-01 -2.5381e+00 +3.1823e+00 +1.7284e+00 +1.7155e+00 +3.8876e+00 -1.5165e+00 -1.4173e+00 -3.5934e+00 -3.0423e+00 +3.0953e+00 -2.3237e+00 +1.8664e+00
5345 +6.010183454e+03 +6.010183454e+03 +5.800303454e+03 -2.098800000e+02 +5.2054e-01 +4.3613e+00 -2.6619e+00 -1.1299e+00 -7.6352e-01 +4.5444e+00 +3.7554e+00 +6.3578e-01 -2.5381e+00 +2.5285e+00 +1.7284e+00 +9.9831e-01 +3.8876e+00 -1.5165e+00 -1.4173e+00 -3.6383e+00 -3.0423e+00 +3.1280e+00 -2.4077e+00 +1.9135e+00
5538 +3.656372432e+03 +3.656372432e+03 +3.446492432e+03 -2.098800000e+02 +5.2054e-01 +4.3613e+00 -2.6619e+00 -1.1299e+00 -7.6352e-01 +4.7517e+00 +3.7554e+00 +6.3578e-01 -2.0255e+00 +3.1823e+00 +5.4688e-01 +1.7155e+00 +3.8876e+00 -1.5165e+00 -1.4173e+00 -3.6383e+00 -3.0423e+00 +3.0953e+00 -2.4077e+00 +1.9135e+00
5925 +2.426991682e+03 +2.426991682e+03 +2.217111682e+03 -2.098800000e+02 +5.2054e-01 +4.3613e+00 -2.6619e+00 -1.0158e+00 -5.6583e-01 +4.6046e+00 +3.7554e+00 +3.7540e-01 -2.0255e+00 +2.5285e+00 +5.4688e-01 +1.7155e+00 +3.8876e+00 -1.5165e+00 -1.4173e+00 -3.7887e+00 -3.0423e+00 +3.0953e+00 -2.4077e+00 +1.9135e+00
7264 +1.508796991e+03 +1.508796991e+03 +1.298916991e+03 -2.098800000e+02 +5.2054e-01 +4.3613e+00 -2.6619e+00 -8.4496e-01 -5.6583e-01 +4.0630e+00 +3.7554e+00 +6.3578e-01 -1.8577e+00 +2.5285e+00 +9.6952e-01 +1.7155e+00 +3.8876e+00 -1.3845e+00 -1.5991e+00 -3.7887e+00 -3.0423e+00 +3.0953e+00 -2.3950e+00 +1.9135e+00
8211 +9.347333859e+02 +9.347333859e+02 +7.248533859e+02 -2.098800000e+02 +6.4620e-01 +4.3613e+00 -1.9689e+00 -1.0158e+00 -5.6583e-01 +4.0630e+00 +2.5440e+00 -2.0919e-01 -1.1048e+00 +2.5285e+00 +9.6952e-01 +1.5620e+00 +3.8876e+00 -1.3845e+00 -1.5421e+00 -3.7887e+00 -3.0423e+00 +3.0953e+00 -2.3950e+00 +1.9135e+00
