% function evaluation | noise-free fitness - Fopt (3.590000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.210470417e+06 +1.210470417e+06 +1.210506317e+06 +1.210506317e+06 +2.0285e-01 +1.1739e+00 +4.4422e-01 +3.2187e+00 -3.2451e+00 +2.8226e+00 -4.4268e+00 -5.1503e-01 +2.7841e+00 +7.2182e-01 -3.2345e+00 -1.3057e+00 +9.9351e-01 +4.2085e+00 +3.5542e+00 +3.0774e+00 +4.7584e+00 -2.1268e+00 +5.5463e-01 -1.9013e+00
23 +9.824081214e+05 +9.824081214e+05 +9.824440214e+05 +9.824440214e+05 -1.3145e+00 -8.2174e-01 +1.7463e+00 +2.6874e-01 +2.8958e+00 -4.2778e+00 +4.2801e+00 -4.4860e+00 +3.8340e+00 -1.2047e+00 +3.1188e+00 -1.4438e+00 -3.8503e+00 +1.7881e+00 -2.7003e+00 -9.1803e-01 -4.3473e-01 -5.5130e-01 -4.4188e-01 -4.1139e+00
109 +5.341653110e+05 +5.341653110e+05 +5.342012110e+05 +5.342012110e+05 -3.0867e+00 +2.7326e+00 +3.4954e+00 +1.4305e+00 -4.2021e+00 +2.8778e+00 +2.0858e+00 -1.1215e+00 -3.4350e+00 -3.1551e+00 -3.6216e+00 -2.1515e-01 +5.3506e-02 -5.9898e-01 +2.7282e+00 +7.2889e-01 +1.5655e+00 +1.3979e+00 +3.0441e+00 -2.1723e+00
816 +3.786302445e+05 +3.786302445e+05 +3.786661445e+05 +3.786661445e+05 +1.0486e+00 -6.6022e-01 +3.0592e+00 -2.8803e+00 -1.8491e+00 -3.7731e+00 +5.3402e-01 -4.7022e+00 -3.9165e+00 -2.2541e+00 +1.8741e+00 +3.9814e+00 +3.4602e+00 -1.8646e+00 -1.7909e+00 -2.3095e+00 -1.2736e+00 +4.8670e+00 +2.6678e+00 -4.8974e+00
1919 +1.233524151e+05 +1.233524151e+05 +1.233883151e+05 +1.233883151e+05 +1.5355e+00 +4.0417e+00 +4.2498e+00 +4.1895e+00 -3.0318e+00 -1.5854e+00 -3.5238e+00 -3.6091e+00 -8.7047e-01 -4.6268e+00 -2.0649e-01 +1.3214e+00 +2.7592e+00 -9.8921e-01 +1.3808e+00 -3.8324e+00 +2.4470e+00 +3.2526e+00 -3.1107e+00 -2.2139e+00
7442 +7.856474890e+04 +7.856474890e+04 +7.860064890e+04 +7.860064890e+04 -3.2197e-01 +2.0286e+00 +4.6697e+00 +2.7359e+00 -4.7033e+00 -1.4336e+00 -1.1015e+00 -4.2557e+00 -2.8553e-01 -2.1355e+00 -1.3898e+00 -1.4508e+00 +4.7122e-01 -2.1237e+00 +4.3303e+00 -2.2193e+00 -6.3133e-01 +3.4746e+00 -3.6525e+00 -1.2562e+00
16191 +6.228514348e+04 +6.228514348e+04 +6.232104348e+04 +6.232104348e+04 -3.2197e-01 +2.0286e+00 +4.6697e+00 +2.7359e+00 -4.7033e+00 -1.4336e+00 -1.1015e+00 -4.2557e+00 -2.8553e-01 -2.1355e+00 -1.3898e+00 -1.4508e+00 +3.0870e+00 -4.3096e-01 +4.3349e+00 -3.2601e+00 +1.4305e+00 +4.1884e+00 -3.6525e+00 -1.2562e+00
21900 +3.404435561e+04 +3.404435561e+04 +3.408025561e+04 +3.408025561e+04 -3.2197e-01 +2.0286e+00 +4.6697e+00 +2.7750e+00 -4.7048e+00 -3.7866e+00 -3.0137e+00 -4.6605e+00 -2.8553e-01 -2.1356e+00 -1.3898e+00 -1.4508e+00 +3.1253e-01 -2.1237e+00 +9.7479e-02 -3.4596e+00 +1.0639e+00 +3.3609e+00 -1.2987e+00 -4.0764e+00
24458 +1.614327273e+04 +1.614327273e+04 +1.617917273e+04 +1.617917273e+04 +1.5355e+00 +4.0417e+00 +4.2498e+00 +4.1895e+00 -3.0318e+00 -1.5854e+00 -3.5238e+00 -3.6091e+00 -6.6923e-02 -3.3918e+00 -3.0671e+00 -3.8058e-01 -9.0154e-01 -1.4749e+00 +4.3463e-01 -1.9360e+00 +1.8553e+00 +4.8626e+00 -3.1107e+00 -2.2139e+00
28893 +9.802275067e+03 +9.802275067e+03 +9.838175067e+03 +9.838175067e+03 +1.5355e+00 +4.0392e+00 +4.6746e+00 +2.7750e+00 -4.7048e+00 -3.7866e+00 -3.0137e+00 -4.6605e+00 -2.8553e-01 -2.1356e+00 -1.3898e+00 -1.4508e+00 +3.1497e-01 -2.1237e+00 +4.3303e+00 -2.2193e+00 -6.3133e-01 +4.8812e+00 -2.4478e+00 -1.2561e+00
36017 +3.768663500e+03 +3.768663500e+03 +3.804563500e+03 +3.804563500e+03 +1.5355e+00 +4.0417e+00 +4.2498e+00 +4.1895e+00 -4.2818e+00 -4.1172e+00 -2.0184e+00 -4.8167e+00 -9.6719e-01 -4.8852e+00 -1.4947e+00 -3.0165e+00 -3.3223e+00 -9.8921e-01 +1.3808e+00 -3.8255e+00 +1.8220e+00 +4.9953e+00 -3.1107e+00 -2.2139e+00
37311 +1.009082212e+03 +1.009082212e+03 +1.044982212e+03 +1.044982212e+03 +1.5355e+00 +4.0417e+00 +4.2498e+00 +4.1895e+00 -3.0318e+00 -4.1101e+00 -3.5238e+00 -3.6091e+00 -6.6923e-02 -3.3918e+00 -3.0671e+00 -3.8058e-01 -9.0154e-01 -1.4749e+00 +2.0165e+00 -1.9360e+00 +1.8220e+00 +4.9953e+00 -2.9663e+00 -2.2140e+00
39755 +2.844448744e+02 +2.844448744e+02 +3.203448744e+02 +3.203448744e+02 +1.5355e+00 +4.0417e+00 +4.2498e+00 +4.1120e+00 -3.0318e+00 -4.0854e+00 -3.5238e+00 -3.6091e+00 -6.6923e-02 -3.3918e+00 -3.0684e+00 -3.8058e-01 -9.0154e-01 -1.4749e+00 +6.4618e-01 -3.1424e+00 +4.9473e-01 +4.4599e+00 -2.4478e+00 -2.2090e+00
45767 +1.129606800e+02 +1.129606800e+02 +1.488606800e+02 +1.488606800e+02 +1.5349e+00 +4.0417e+00 +4.8748e+00 +4.1895e+00 -4.2818e+00 -4.1172e+00 -2.0184e+00 -4.8167e+00 -6.6923e-02 -3.6722e+00 -1.3898e+00 -1.4508e+00 -1.3672e+00 -1.5253e+00 +3.0300e+00 -3.1424e+00 +4.9473e-01 +4.8626e+00 -3.1107e+00 -2.2139e+00
49065 +8.363441430e+01 +8.363441430e+01 +1.195344143e+02 +1.195344143e+02 +1.5355e+00 +4.0417e+00 +4.2498e+00 +4.1895e+00 -4.9140e+00 -3.8569e+00 -1.6829e+00 -4.6081e+00 -6.6921e-02 -3.3918e+00 -1.3898e+00 -1.4508e+00 -2.7840e+00 -2.3593e+00 +1.1774e+00 -3.1360e+00 +1.5074e+00 +4.3976e+00 -3.1107e+00 -2.2139e+00
49818 +6.056134598e+01 +6.056134598e+01 +9.646134598e+01 +9.646134598e+01 +1.5355e+00 +4.0417e+00 +4.2498e+00 +4.1120e+00 -3.0318e+00 -4.0854e+00 -3.5238e+00 -3.6091e+00 -6.6923e-02 -3.3918e+00 -3.0684e+00 -3.8058e-01 -9.0162e-01 -1.4749e+00 +6.4618e-01 -3.1424e+00 +4.9473e-01 +4.4599e+00 -2.9663e+00 -2.2090e+00
99475 +3.955406178e+01 +3.955406178e+01 +7.545406178e+01 +7.545406178e+01 +2.1534e+00 +2.7892e+00 +4.2504e+00 +4.1895e+00 -3.0318e+00 -4.1052e+00 -3.5238e+00 -3.6091e+00 -1.3169e+00 -3.3919e+00 -1.5461e+00 -3.9034e-01 -9.0154e-01 -1.4749e+00 +4.3463e-01 -3.1399e+00 +3.7578e-01 +4.8812e+00 -2.4477e+00 -3.8137e+00
142457 +2.505087994e+01 +2.505087994e+01 +6.095087994e+01 +6.095087994e+01 +2.3436e+00 +2.6945e+00 +4.2498e+00 +4.1797e+00 -3.0318e+00 -4.0848e+00 -2.8988e+00 -3.2047e+00 -1.3170e+00 -3.3918e+00 -1.5908e+00 -3.8058e-01 -9.1131e-01 -9.4742e-01 +9.9766e-01 -3.4549e+00 +4.9473e-01 +4.2991e+00 -2.1948e+00 -3.1893e+00
219728 +1.580316476e+01 +1.580316476e+01 +5.170316476e+01 +5.170316476e+01 +2.3435e+00 +2.5382e+00 +3.9202e+00 +3.8819e+00 -2.5289e+00 -4.0854e+00 -2.8982e+00 -2.8463e+00 -2.0933e+00 -3.3726e+00 -1.5994e+00 -6.8084e-02 -7.4529e-01 -9.4750e-01 +9.9774e-01 -3.5431e+00 +4.9472e-01 +3.8373e+00 -1.9018e+00 -3.1868e+00
% function evaluation | noise-free fitness - Fopt (3.137000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
