% function evaluation | noise-free fitness - Fopt (-1.694000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.454834097e+002 +2.454834097e+002 +2.285434097e+002 +2.285434097e+002 -3.7910e+000 +3.4508e+000 +2.7003e+000 +3.6009e-001 -2.8381e+000 +7.7006e-001 -1.0138e+000 +4.7735e+000 +3.6339e+000 -1.9581e+000 -4.8653e+000 -1.3565e+000 +4.6586e+000 +3.3349e+000 +2.7446e+000 -3.2586e+000 -6.3233e-001 -4.0424e-001 -3.7100e+000 -4.7762e+000
2 +4.818820865e+001 +4.818820865e+001 +3.124820865e+001 +3.124820865e+001 +3.1826e+000 +2.7133e+000 -1.7694e-001 -1.2374e-001 -7.4530e-001 +4.7014e-001 -3.6921e+000 -6.6735e-001 +4.0292e+000 -4.0938e-001 +1.3717e+000 +1.5905e+000 +1.2599e+000 +2.2166e+000 -6.0583e-001 -2.7982e+000 +5.5602e-001 -2.1642e-001 -4.7257e+000 +2.4671e+000
16 +2.774477852e+001 +2.774477852e+001 +1.080477852e+001 +1.080477852e+001 -2.1527e-001 -2.3841e+000 +2.0799e+000 -3.8088e+000 +3.3655e+000 +2.0233e+000 -4.7776e+000 +3.7633e-001 -4.5745e+000 -3.8798e+000 -3.0590e+000 +7.5783e-002 +7.7295e-001 -4.7750e+000 -6.5060e-002 -4.5155e+000 +3.5001e+000 +1.8458e+000 +2.1458e+000 +5.8120e-001
23 +1.836351196e+001 +1.836351196e+001 +1.423511959e+000 +1.423511959e+000 +3.7639e+000 +1.3749e+000 -3.0764e+000 -1.5914e+000 +2.0210e+000 -3.4846e+000 +2.0328e+000 -7.5992e-001 +3.0811e+000 -7.5340e-001 +1.1946e+000 +1.5504e+000 +2.3120e+000 +4.9248e+000 +2.4032e+000 +3.3194e+000 +2.4226e+000 +4.9659e+000 -2.5798e+000 -3.3145e+000
162 +1.298211218e+001 +1.298211218e+001 -3.957887825e+000 -3.957887825e+000 +2.9776e+000 +4.5005e-001 -4.2586e+000 -1.3247e+000 +3.2595e+000 -3.5689e+000 +1.6629e+000 -1.6133e+000 +2.0843e+000 -2.3019e+000 +2.0869e+000 -1.4397e+000 -1.6399e+000 +4.7346e+000 +2.7525e+000 +7.8109e-001 -1.5484e-001 +4.3862e-001 +3.2648e-001 -2.1658e-001
264 +9.972038276e+000 +9.972038276e+000 -6.967961724e+000 -6.967961724e+000 +2.5617e+000 -4.2893e-001 -4.7065e-001 -1.5209e+000 +4.9717e+000 -5.0000e+000 +2.8327e+000 -5.0000e+000 -7.8998e-001 -4.3569e+000 +4.1843e+000 -4.6819e-001 -1.4029e+000 -1.6943e+000 +3.0376e+000 +4.3560e+000 -2.4876e-001 +5.0000e+000 +8.6873e-001 -3.7562e+000
3212 +5.784710378e+000 +5.784710378e+000 -1.115528962e+001 -1.115528962e+001 +2.7908e+000 +1.8124e+000 -1.0715e+000 +1.3145e+000 +3.7046e+000 -4.9972e+000 +1.1746e+000 -4.9450e+000 -1.3998e+000 -4.4163e+000 +4.5849e+000 +1.4522e-001 -1.4480e+000 -9.2927e-001 +2.7157e+000 +4.7851e+000 +2.6494e+000 +5.0000e+000 -1.6646e+000 +4.6266e-001
15579 +3.975710155e+000 +3.975710155e+000 -1.296428984e+001 -1.296428984e+001 +2.8313e+000 +1.8090e+000 -1.1228e+000 +1.4074e+000 +3.8176e+000 -4.9879e+000 +1.4703e+000 -4.9268e+000 -1.6261e+000 -4.7319e+000 +4.4718e+000 +4.3482e-002 +9.3603e-002 -8.1603e-001 +1.7960e+000 +4.7761e+000 +3.1567e+000 +5.0000e+000 -4.9875e-001 +1.0379e-001
% function evaluation | noise-free fitness - Fopt (1.881000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.664976479e+001 +1.664976479e+001 +3.545976479e+001 +3.545976479e+001 -1.0224e+000 +3.9214e+000 +3.0765e+000 -8.8429e-001 +4.8823e-001 +2.1808e+000 +2.7686e+000 +2.4070e+000 +2.0114e+000 -1.0433e+000 -1.7938e+000 -4.9190e+000 +3.7150e+000 +4.2729e+000 -2.3860e+000 -3.8662e+000 -3.6628e+000 -4.4956e+000 +3.6472e+000 -1.0223e-001
12 +1.535116484e+001 +1.535116484e+001 +3.416116484e+001 +3.416116484e+001 -2.1709e+000 -2.8623e-001 +1.1003e+000 +7.2184e-001 -3.1837e+000 +1.0519e+000 +4.3449e+000 -1.1697e+000 +1.6731e+000 +2.3398e+000 +4.6987e+000 +8.5095e-001 -2.3810e+000 +4.3363e+000 -2.1161e+000 -2.9675e+000 +2.7758e-001 +1.7032e-001 -2.2039e+000 +3.5754e+000
53 +9.085493107e+000 +9.085493107e+000 +2.789549311e+001 +2.789549311e+001 -4.8692e-001 -3.8137e+000 -6.8980e-001 +2.7948e-001 +2.0263e-001 -6.2238e-001 +1.8582e+000 -7.3655e-001 +4.9930e+000 +5.0000e+000 -2.7588e+000 +4.0752e-002 +5.0000e+000 +2.9328e+000 -1.5098e+000 -5.5060e-001 -1.6950e+000 +4.2879e+000 -9.3759e-001 +1.7753e+000
584 +6.272699867e+000 +6.272699867e+000 +2.508269987e+001 +2.508269987e+001 -2.2043e+000 -1.1127e-001 +1.4538e+000 -2.2078e+000 +2.9491e-001 -3.8660e+000 +2.7110e+000 +1.9841e+000 +4.0742e+000 +4.8023e+000 -5.0000e+000 +8.7283e-001 +4.0860e+000 +4.3755e-001 -2.1061e+000 -4.2995e+000 -3.2257e+000 +3.6065e+000 -3.7266e-002 +1.8576e+000
800 +3.604534917e+000 +3.604534917e+000 +2.241453492e+001 +2.241453492e+001 -4.7039e-001 +2.6817e+000 +1.0343e+000 -3.0616e+000 -1.7371e-002 -3.9214e+000 +6.0981e-001 +2.5794e-001 +2.6696e+000 +5.0000e+000 -5.0000e+000 +2.2822e+000 +4.2941e+000 +1.1609e+000 -2.8109e+000 -3.1912e+000 -4.5312e+000 +2.9151e+000 +6.0909e-001 +6.4461e-001
2939 +2.445697165e+000 +2.445697165e+000 +2.125569717e+001 +2.125569717e+001 -6.0059e-001 +3.0978e+000 -1.8394e+000 -1.7331e+000 +3.4321e-001 -4.2410e+000 +4.0078e-001 +5.2253e-001 +7.7915e-001 +5.0000e+000 -4.9831e+000 +2.4205e+000 +4.0966e+000 +1.0312e+000 -2.8553e+000 -3.1485e+000 -4.0616e+000 +2.9379e+000 +9.6558e-001 +4.3791e-001
7413 +1.567708220e+000 +1.567708220e+000 +2.037770822e+001 +2.037770822e+001 -6.8933e-001 +4.0866e+000 -1.4793e+000 -3.0905e+000 +4.2644e-001 -4.1001e+000 -5.9283e-001 +9.5182e-001 +8.8544e-001 +5.0000e+000 -4.9772e+000 +2.5192e+000 +4.5713e+000 +9.7179e-001 -3.0764e+000 -3.5155e+000 -4.3110e+000 +3.2475e+000 +9.1050e-001 +5.7254e-001
