% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.434491692e+03 +1.434491692e+03 +1.417551692e+03 -1.694000000e+01 +1.4303e-01 +2.0655e+00 +3.9632e+00 -4.5980e+00 +4.1418e-01 +3.8396e+00 -2.0084e+00 -4.9814e+00 +4.9082e+00 +2.1506e+00 -6.8455e-02 -4.2069e+00 +7.1548e-01 +4.3231e+00 -2.5950e+00 +7.8516e-01 -1.3128e+00 +1.4845e+00 -1.3163e+00 -1.5832e+00
390 +4.199070108e+01 +4.199070108e+01 +2.505070108e+01 -1.694000000e+01 +1.2572e+00 -2.6376e+00 -2.3217e+00 -3.4002e+00 +4.6505e+00 +2.2029e+00 +3.4693e-01 +4.9284e-01 -2.7537e+00 +1.8002e-01 +3.6783e-01 +1.1451e+00 -4.7831e-01 +4.9788e-01 +2.2878e+00 +2.9305e+00 +4.0891e+00 -2.8439e-01 -3.5934e+00 +3.5488e+00
575 +3.327811559e+01 +3.327811559e+01 +1.633811559e+01 -1.694000000e+01 +3.9211e-01 +2.7397e-01 -2.0453e+00 -2.5813e+00 +4.2149e+00 +2.2029e+00 +3.4693e-01 +4.9284e-01 -2.7537e+00 +1.8002e-01 +3.6783e-01 +1.1451e+00 -4.7831e-01 +4.9788e-01 +2.2878e+00 +2.9305e+00 +2.0416e+00 -2.1646e+00 -3.1114e+00 +2.9609e+00
1125 +2.487838190e+01 +2.487838190e+01 +7.938381896e+00 -1.694000000e+01 +2.9394e+00 +1.4744e+00 -3.5866e+00 -1.9831e+00 +4.2149e+00 +1.3358e+00 -2.7031e-01 +4.9284e-01 -2.7537e+00 +1.8002e-01 +3.6783e-01 +1.1451e+00 -4.7831e-01 +4.9788e-01 +2.2878e+00 +2.9305e+00 +4.0618e+00 -2.8439e-01 -3.1114e+00 +2.4807e+00
3180 +1.576141628e+01 +1.576141628e+01 -1.178583717e+00 -1.694000000e+01 +2.9394e+00 +1.4744e+00 -2.3400e+00 +1.4082e+00 +3.5158e+00 +1.3336e-01 +6.6180e-01 -9.4759e-01 -2.8825e+00 +6.9503e-01 +1.6289e+00 +1.1981e+00 -4.7831e-01 +4.9788e-01 +2.2878e+00 +2.8272e+00 +4.0891e+00 -2.8439e-01 -3.1114e+00 +2.4614e+00
32701 +9.349044260e+00 +9.349044260e+00 -7.590955740e+00 -1.694000000e+01 +1.9761e+00 +3.4291e+00 -1.0503e+00 +1.4257e-01 +2.4909e+00 -1.3033e+00 +2.6149e+00 -3.7944e+00 -2.0779e+00 -1.8753e+00 +3.2172e+00 +6.5043e-02 -5.6744e-01 -2.5054e+00 +1.4621e+00 +1.7615e+00 +3.1350e+00 +1.1904e+00 +2.6577e+00 +3.6776e+00
% function evaluation | noise-free fitness - Fopt (1.881000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.568007980e+01 +8.568007980e+01 +1.044900798e+02 +1.881000000e+01 +5.7380e-01 -2.0517e+00 -4.6679e+00 +2.1521e+00 -3.4296e-01 +3.2008e+00 -5.2152e-01 -2.7132e+00 +3.8723e+00 +3.5037e+00 -4.3405e+00 +3.4630e+00 +3.8898e+00 +4.4643e+00 -2.8395e+00 -3.0683e+00 -1.1749e+00 +3.9297e+00 -4.7184e+00 -3.2583e-01
390 +3.195978098e+01 +3.195978098e+01 +5.076978098e+01 +1.881000000e+01 +1.9199e+00 +1.7554e+00 -1.9223e-01 +3.8690e+00 +2.3768e+00 -1.0246e+00 -3.1998e+00 +1.2126e-01 +1.2747e+00 +2.8760e+00 -1.9252e+00 +4.5626e+00 +2.9409e+00 +2.3148e+00 -3.5238e+00 -7.9301e-01 -3.6655e+00 +9.0536e-01 +2.7727e+00 -6.3143e-01
757 +2.479443211e+01 +2.479443211e+01 +4.360443211e+01 +1.881000000e+01 -2.2566e+00 +2.6119e-01 -5.1408e-02 +3.9254e+00 -2.6153e-02 -4.4013e+00 +3.6510e-01 -4.5937e-01 +7.3158e-01 +4.0011e+00 -2.3197e+00 +4.6321e+00 +2.4227e+00 -6.5424e-01 -3.5238e+00 -7.9301e-01 -1.6885e+00 +4.1354e+00 -1.7739e+00 +3.6023e+00
2083 +1.561638696e+01 +1.561638696e+01 +3.442638696e+01 +1.881000000e+01 -1.8607e+00 -2.1213e+00 +4.2205e+00 -2.8974e+00 -1.7512e+00 -4.4013e+00 +3.6510e-01 +3.3146e+00 -1.8280e+00 +1.7907e+00 -1.5200e+00 +4.5626e+00 +2.9409e+00 +2.3148e+00 -3.5238e+00 +2.2303e+00 -4.5958e+00 +4.9019e+00 -5.7850e-01 -8.5927e-01
15740 +9.984223017e+00 +9.984223017e+00 +2.879422302e+01 +1.881000000e+01 -2.5763e+00 +2.1238e+00 +1.4286e+00 -1.6418e+00 +8.7924e-01 -1.0345e+00 +1.3173e+00 +3.0982e+00 +2.1644e+00 +1.9043e+00 -2.6692e+00 +4.2717e+00 +3.2870e+00 -1.3290e+00 -4.1732e+00 -3.0405e+00 -3.9750e+00 +3.2235e+00 -2.6499e+00 -7.5366e-01
213043 +5.839474486e+00 +5.839474486e+00 +2.464947449e+01 +1.881000000e+01 -2.6498e+00 +2.2597e+00 +1.4450e+00 -1.5645e+00 +7.9977e-01 -1.0467e+00 +1.5418e+00 +3.1075e+00 +1.4156e+00 +1.9050e+00 -3.1675e+00 +4.2618e+00 +3.6003e+00 -1.3256e+00 -3.9642e+00 -2.9916e+00 -3.9595e+00 +3.2250e+00 -2.4961e+00 -6.8424e-01
% function evaluation | noise-free fitness - Fopt (2.731500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.021939235e+02 +3.021939235e+02 +5.753439235e+02 +2.731500000e+02 -1.3740e+00 -1.8144e+00 -4.4521e+00 +3.1607e+00 -6.4974e-01 -1.8889e-01 +2.0833e+00 -1.0911e+00 -4.5401e+00 -2.9620e+00 -3.4287e+00 +3.6165e+00 -2.2832e+00 -1.5262e+00 -4.8334e+00 +3.1269e+00 -1.3694e+00 +1.5140e+00 +4.4108e+00 -3.4451e+00
