% function evaluation | noise-free fitness - Fopt (-6.211100000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.945217403e+009 +6.945217403e+009 +6.945216782e+009 +6.945216782e+009 +1.7912e+000 -3.2949e+000 -1.1435e+000 -2.3553e+000 -1.1205e+000 +2.3850e+000 +4.2369e+000 +4.0751e+000 -4.1327e+000 -1.8834e+000 +4.0094e+000 +2.6224e+000 +3.5256e+000 +3.9004e+000 -2.2221e+000 -2.2346e+000 -1.7949e+000 +4.3696e+000 +3.1398e+000 +4.3759e+000
2 +2.254758803e+008 +2.254758803e+008 +2.254752592e+008 +2.254752592e+008 +1.2815e+000 +3.8601e+000 +2.8360e+000 -3.9273e+000 -8.7014e-001 -2.4759e+000 +4.2479e+000 -4.7923e+000 +1.4957e+000 +2.5598e-001 -7.9142e-001 +2.6488e+000 +2.1957e+000 +1.6563e+000 +4.5552e+000 +3.1005e+000 +2.0437e+000 +2.1640e+000 +5.0081e-001 -1.1893e+000
125 +1.379920846e+008 +1.379920846e+008 +1.379914635e+008 +1.379914635e+008 +7.7147e-002 +4.0213e+000 -3.1987e+000 -5.0000e+000 -4.3027e+000 -5.0000e+000 +1.2824e+000 -1.0867e+000 -6.3912e-001 +4.9431e+000 -2.6808e+000 +3.7391e+000 +2.8337e+000 +9.8295e-002 +2.5022e+000 -1.1454e+000 +4.3703e+000 +5.0000e+000 -3.7903e+000 -2.0988e+000
315 +9.497560295e+007 +9.497560295e+007 +9.497498184e+007 +9.497498184e+007 +1.5470e+000 +4.8558e+000 +0.0000e+000 -2.3882e+000 -1.0683e+000 -5.2130e-001 +4.7477e+000 -1.0556e+000 +3.8810e+000 -2.6681e+000 -2.4717e+000 +4.9604e+000 -1.3940e+000 +5.0000e+000 +2.6888e+000 -1.4067e+000 +1.8304e+000 +1.8608e+000 -1.6590e-001 -1.9613e+000
450 +4.430727366e+007 +4.430727366e+007 +4.430665255e+007 +4.430665255e+007 -3.1322e-003 +4.6826e+000 -3.9025e-001 -2.1937e+000 -1.3389e+000 -2.0998e+000 +4.2864e+000 +1.8304e-001 +2.0327e+000 +2.2369e-001 -2.5141e+000 +4.8636e+000 +3.7493e+000 +4.1780e-001 +3.7137e+000 -2.4649e+000 +1.6511e+000 +2.6116e+000 -1.5228e+000 -2.4637e+000
590 +3.915009749e+007 +3.915009749e+007 +3.914947638e+007 +3.914947638e+007 -7.6214e-001 +4.6157e+000 -6.8273e-001 -2.5766e+000 -1.3322e+000 -1.6721e+000 +3.6468e+000 -4.6937e-001 +1.5806e+000 -1.0642e+000 -2.3245e+000 +4.9151e+000 +4.4725e+000 +7.5040e-001 +3.2248e+000 -2.3065e+000 +2.3349e+000 +2.9574e+000 -1.7324e+000 -2.2541e+000
753 +1.896334474e+007 +1.896334474e+007 +1.896272363e+007 +1.896272363e+007 -1.0203e+000 +4.8592e+000 -3.6152e-001 -3.7235e+000 -2.2527e+000 -1.1520e+000 +2.0291e+000 +2.2052e-001 +5.4352e-001 -3.0473e-001 +6.4952e-001 +4.6564e+000 +4.1813e+000 +5.6489e-001 +2.3630e+000 -2.9343e+000 +2.1426e+000 +1.0468e+000 -1.2056e+000 -1.7402e+000
930 +1.577965595e+007 +1.577965595e+007 +1.577903484e+007 +1.577903484e+007 -1.7443e+000 +4.3593e+000 +7.9318e-001 -3.4270e+000 +3.6114e-001 -1.0551e+000 +1.6909e+000 -6.0705e-001 +8.2416e-001 -1.3270e-001 -1.5195e-001 +4.3332e+000 +5.0000e+000 +2.2126e+000 +2.4878e+000 -3.6812e+000 +1.5266e+000 +1.8020e+000 -4.4397e-002 -1.9272e+000
1107 +8.742365756e+006 +8.742365756e+006 +8.741744646e+006 +8.741744646e+006 -5.8962e-001 +4.0266e+000 +7.9554e-001 -2.9132e+000 -6.1989e-002 -2.3037e+000 +2.2165e+000 -7.8523e-001 +6.6710e-001 -9.6201e-002 +1.7558e+000 +4.5809e+000 +4.1158e+000 +1.8386e+000 +2.3740e+000 -2.5553e+000 +1.9882e+000 +3.0838e+000 -2.7581e-001 -1.2694e-001
1359 +6.057989774e+006 +6.057989774e+006 +6.057368664e+006 +6.057368664e+006 -4.3860e-001 +4.4976e+000 +8.4781e-001 -2.7576e+000 -1.1722e+000 -2.4170e+000 +1.6328e+000 -3.8918e-001 +2.8632e-001 -1.8519e-001 +3.5350e-001 +3.9984e+000 +4.2583e+000 +1.8874e+000 +2.8011e+000 -2.8652e+000 +1.2026e+000 +3.0816e+000 +2.6367e+000 -2.0151e-001
