% function evaluation | noise-free fitness - Fopt (6.870000000000e+000) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.079489498e+000 +8.079489498e+000 +1.494948950e+001 +1.494948950e+001 -3.5194e+000 -1.9601e+000 +4.4115e+000 +4.4250e+000 +3.2887e+000 -8.3951e-001 +1.3326e+000 +3.7230e+000 +7.8050e-001 +3.6823e+000 -1.4813e-001 +4.5169e+000 +7.4103e-003 -2.3959e+000 -7.1105e-001 +1.2453e+000 -2.8766e-001 -1.3948e+000 -4.9203e+000 +3.9637e+000
50 +4.426018485e+000 +4.426018485e+000 +1.129601848e+001 +1.129601848e+001 -3.4033e+000 -2.0072e+000 -5.0000e+000 +4.8908e+000 +2.1318e+000 -4.2451e+000 -3.7873e+000 +5.0000e+000 +1.0583e+000 +2.3755e-001 +4.2411e-001 -2.4970e+000 +3.7622e+000 -5.0000e+000 -4.5630e+000 -1.2992e+000 -5.0000e+000 +8.4414e-001 +9.2758e-001 -1.0712e+000
907 +3.230193986e+000 +3.230193986e+000 +1.010019399e+001 +1.010019399e+001 -4.7689e+000 -1.7601e+000 -3.0518e+000 +4.8714e+000 -2.8231e+000 +3.7402e-001 -2.9008e+000 +4.9455e+000 +7.5462e-001 +7.5273e-001 -4.9072e+000 -2.2869e+000 -8.0029e-001 -5.0000e+000 -4.9725e+000 -1.8817e+000 -4.6841e+000 +2.6930e+000 +3.6323e+000 -3.5772e+000
11548 +2.455566375e+000 +2.455566375e+000 +9.325566375e+000 +9.325566375e+000 -4.9530e+000 +1.3578e-001 -2.9573e+000 +4.9228e+000 -2.2670e+000 +1.4479e+000 -3.6151e+000 +4.3861e+000 -2.9873e-002 +6.1544e-001 -3.1913e+000 -2.4101e+000 -1.1498e+000 -5.0000e+000 -4.9774e+000 -1.2357e+000 -4.8498e+000 +4.3625e+000 +3.4856e+000 -2.2170e+000
95672 +1.451195661e+000 +1.451195661e+000 +8.321195661e+000 +8.321195661e+000 -4.8106e+000 +3.9265e-001 -3.1365e+000 +4.9216e+000 -2.2572e+000 +1.5035e+000 -3.6006e+000 +4.3574e+000 -2.1926e+000 +3.3787e+000 -2.9689e+000 -2.2762e+000 -1.2302e+000 -5.0000e+000 -4.9755e+000 -7.3081e-001 -4.8584e+000 +4.2654e+000 +3.1960e+000 -1.3217e+000
1740099 +9.344182828e-001 +9.344182828e-001 +7.804418283e+000 +7.804418283e+000 -4.6716e+000 -4.4810e-001 -2.7434e+000 +4.9214e+000 -2.3897e+000 +1.7107e+000 -3.6160e+000 +4.3457e+000 -3.0817e+000 +3.3424e-002 -2.5256e+000 -2.0357e+000 -8.1816e-001 -5.0000e+000 -4.9843e+000 -1.1216e+000 -4.9311e+000 +4.0833e+000 +3.3972e+000 -1.3176e+000
% function evaluation | noise-free fitness - Fopt (1.000000000000e-002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.022984549e+001 +2.022984549e+001 +2.023984549e+001 +2.023984549e+001 +1.6622e+000 +2.5930e-001 +2.5315e+000 +3.3907e+000 -3.4241e+000 -4.6376e-001 -2.3482e+000 +3.8330e-001 -3.0141e+000 +3.7621e+000 +4.7273e+000 +1.0129e+000 +2.4606e+000 -3.0832e+000 +2.0068e+000 -4.4299e+000 +4.0230e+000 -3.0815e+000 -4.2078e+000 -3.2662e+000
2 +1.179044492e+001 +1.179044492e+001 +1.180044492e+001 +1.180044492e+001 -1.6654e+000 +1.3890e+000 +3.5092e+000 +3.2527e+000 +1.4084e+000 -4.5617e+000 +3.2052e+000 -1.9621e+000 +3.0555e+000 -3.6358e-001 -1.8138e+000 +3.6510e+000 -9.7856e-001 +3.3569e+000 +3.3510e+000 -3.0228e+000 +2.1385e+000 +2.8358e+000 -2.9329e+000 +3.1149e+000
5 +7.616848261e+000 +7.616848261e+000 +7.626848261e+000 +7.626848261e+000 -4.5117e+000 -1.9450e+000 +3.6239e+000 +2.6633e-001 -3.9877e-001 +6.7959e-001 +3.3043e+000 +3.1945e+000 +4.5494e+000 +1.2538e+000 -1.6384e+000 +4.9097e+000 -3.6213e+000 +2.4569e-001 +3.5198e+000 +2.4147e+000 +3.5457e+000 +2.3573e+000 -2.4657e+000 -3.2734e+000
111 +4.804982468e+000 +4.804982468e+000 +4.814982468e+000 +4.814982468e+000 -5.0000e+000 -4.3552e+000 +4.7731e+000 -4.9026e-001 -3.4762e+000 -1.6933e+000 +5.0000e+000 +5.0000e+000 +5.0000e+000 +5.0000e+000 -4.8405e+000 +2.7211e+000 -5.0000e+000 -5.0000e+000 +5.0000e+000 +3.0841e+000 +5.0000e+000 +4.5663e+000 +1.5637e+000 -2.3688e+000
