% function evaluation | noise-free fitness - Fopt (-5.235000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.741721978e+001 +7.741721978e+001 +2.506721978e+001 +2.506721978e+001 -4.7575e+000 -1.8948e+000 +1.5003e-001 +4.6390e+000 +2.8520e+000 +2.3278e+000 -1.9187e+000 +1.9355e+000 +1.5532e-001 +1.1282e+000 +2.8095e+000 -4.7010e+000 -3.4707e+000 -2.3849e-001 +5.6268e-001 +1.0906e+000 +2.6523e+000 -4.9559e+000 +4.0438e+000 +1.0799e+000
16 +5.848556348e+001 +5.848556348e+001 +6.135563479e+000 +6.135563479e+000 +3.4994e+000 -3.4299e-001 +4.8337e+000 +1.0138e+000 +1.0766e+000 +2.2388e-002 +4.6134e+000 +2.9728e+000 -2.1410e+000 -1.7566e+000 +3.5067e+000 -2.8578e+000 -1.4122e+000 -1.1531e+000 -4.3616e+000 +3.3168e+000 +2.1192e+000 +1.6908e+000 +2.8717e+000 -3.9647e+000
45 +3.034068708e+001 +3.034068708e+001 -2.200931292e+001 -2.200931292e+001 +1.5758e+000 -3.2457e+000 -2.5255e+000 +1.4015e-001 +1.0815e-001 +1.4195e+000 +2.9151e+000 -8.4666e-001 +1.9544e+000 +1.3323e-002 -3.8457e-002 +1.3079e+000 +7.7386e-001 -2.3007e+000 +1.4247e+000 +1.0878e+000 -3.1872e+000 -5.2262e-001 +3.5420e+000 -4.5117e+000
201 +2.410886781e+001 +2.410886781e+001 -2.824113219e+001 -2.824113219e+001 +3.1683e-001 -4.3503e+000 +9.0411e-001 -8.7077e-001 +1.0055e+000 +1.8386e+000 +2.0488e+000 -5.8633e-001 +6.8809e-001 +1.7640e+000 +1.6733e+000 -9.6321e-001 -2.0748e+000 -1.6292e+000 -1.4567e-001 +5.8677e-001 -2.8135e+000 -2.2155e+000 +3.2627e+000 -4.7485e+000
380 +1.482296426e+001 +1.482296426e+001 -3.752703574e+001 -3.752703574e+001 +2.3716e-001 -3.5928e+000 +1.4016e+000 -1.6359e+000 -2.4899e-001 +1.7189e+000 -3.4719e-001 -2.4847e+000 +4.2837e+000 +1.0157e+000 -5.5371e-001 +4.3927e-001 +2.8340e-001 -4.3614e+000 -1.0815e+000 -6.8913e-001 -3.6973e+000 +1.3482e+000 +3.1531e+000 -4.0475e+000
416 +9.780700495e+000 +9.780700495e+000 -4.256929950e+001 -4.256929950e+001 -2.9312e+000 -4.1585e+000 +2.3888e+000 -1.1374e+000 -6.4475e-001 +1.8413e+000 -1.3204e+000 -9.2604e-001 +4.1619e+000 -4.4652e-001 +1.2833e+000 -5.6476e-001 +1.6762e+000 -5.0000e+000 -1.9112e+000 -3.0325e-001 -6.8647e-001 +9.5267e-001 +3.0625e+000 -4.4743e+000
1493 +5.918114607e+000 +5.918114607e+000 -4.643188539e+001 -4.643188539e+001 -4.3136e-001 -2.5182e+000 +2.4357e+000 -1.5323e+000 -1.5493e+000 +2.3011e+000 -2.2311e+000 -3.0078e-001 +3.7115e+000 -1.4632e+000 +2.7195e+000 -7.4488e-001 +2.1869e+000 -4.6411e+000 -2.9589e+000 +2.1943e+000 -4.2470e-001 +1.2576e+000 +3.6077e+000 -4.0164e+000
2616 +3.803385548e+000 +3.803385548e+000 -4.854661445e+001 -4.854661445e+001 -1.0374e+000 -2.2015e+000 +2.4326e+000 -1.9405e+000 -1.7560e+000 +3.0979e+000 -3.6404e+000 +1.0246e+000 +3.3444e+000 -1.2198e+000 +3.7189e+000 -9.1111e-001 +3.0786e+000 -3.6111e+000 -3.2485e+000 +1.6833e+000 -6.9163e-001 +5.8266e-001 +3.1867e+000 -3.8747e+000
3129 +2.460624633e+000 +2.460624633e+000 -4.988937537e+001 -4.988937537e+001 -5.5656e-001 -1.4161e+000 +2.2715e+000 -2.1934e+000 -1.2445e+000 +3.4318e+000 -3.8094e+000 +4.0453e-001 +3.3032e+000 -1.3704e+000 +1.6631e+000 -9.0294e-001 +3.0109e+000 -1.9136e+000 -1.1397e+000 +3.2807e-001 -1.5669e+000 +1.5753e+000 +2.5808e+000 -3.5593e+000
3271 +1.000939073e+000 +1.000939073e+000 -5.134906093e+001 -5.134906093e+001 -9.7990e-001 -1.6958e+000 +2.4122e+000 -2.4386e+000 -1.1907e+000 +3.1521e+000 -3.7129e+000 +5.0669e-001 +3.0741e+000 -1.3344e+000 +1.9533e+000 -6.9013e-001 +3.3134e+000 -8.7276e-001 -2.0096e+000 +5.6792e-001 -1.0217e+000 +1.5358e+000 +2.9031e+000 -3.4338e+000
3322 +9.979754577e-001 +9.979754577e-001 -5.135202454e+001 -5.135202454e+001 -1.1340e+000 -2.0464e+000 +2.2831e+000 -2.4112e+000 -1.0641e+000 +3.2048e+000 -3.8167e+000 +5.3280e-001 +2.9711e+000 -1.3145e+000 +2.3036e+000 -6.8907e-001 +3.2432e+000 -8.9769e-001 -1.9543e+000 +8.6967e-001 -9.3511e-001 +1.3826e+000 +2.9297e+000 -3.6209e+000
3591 +6.226320095e-001 +6.226320095e-001 -5.172736799e+001 -5.172736799e+001 -8.0896e-001 -1.8144e+000 +2.3403e+000 -2.4166e+000 -1.2576e+000 +3.3799e+000 -3.8834e+000 +4.9842e-001 +2.6932e+000 -1.5927e+000 +2.3539e+000 -7.8554e-001 +3.2523e+000 -9.4597e-001 -2.1306e+000 +1.2600e+000 -1.2179e+000 +1.3089e+000 +3.0638e+000 -3.5694e+000
3883 +3.560896728e-001 +3.560896728e-001 -5.199391033e+001 -5.199391033e+001 -7.6839e-001 -1.7286e+000 +2.8003e+000 -2.3115e+000 -1.4018e+000 +3.2912e+000 -3.9271e+000 +5.5315e-001 +2.8018e+000 -1.7675e+000 +2.7932e+000 -6.4267e-001 +3.6198e+000 -6.7155e-001 -1.8912e+000 +1.1520e+000 -1.3117e+000 +1.5047e+000 +3.2755e+000 -3.6072e+000
4734 +2.459867644e-001 +2.459867644e-001 -5.210401324e+001 -5.210401324e+001 -7.9025e-001 -1.2922e+000 +2.5095e+000 -2.3933e+000 -1.3733e+000 +3.1179e+000 -3.9949e+000 +5.2839e-001 +2.6167e+000 -1.6224e+000 +2.8047e+000 -6.1634e-001 +3.7553e+000 -6.9989e-001 -2.0201e+000 +1.1194e+000 -1.2289e+000 +1.5236e+000 +3.2100e+000 -3.5611e+000
5337 +1.539830355e-001 +1.539830355e-001 -5.219601696e+001 -5.219601696e+001 -8.4693e-001 -1.2890e+000 +2.6281e+000 -2.4884e+000 -1.3902e+000 +3.3789e+000 -3.9602e+000 +3.2034e-001 +2.6130e+000 -1.6076e+000 +2.7603e+000 -6.0953e-001 +3.6640e+000 -6.1287e-001 -2.0134e+000 +1.1574e+000 -1.2253e+000 +1.5641e+000 +3.0099e+000 -3.6925e+000
6043 +9.971173084e-002 +9.971173084e-002 -5.225028827e+001 -5.225028827e+001 -8.8122e-001 -1.3202e+000 +2.6294e+000 -2.4121e+000 -1.4111e+000 +3.4531e+000 -3.8636e+000 +1.9562e-001 +2.7793e+000 -1.6413e+000 +2.7935e+000 -5.5810e-001 +3.6170e+000 -7.7345e-001 -2.0467e+000 +1.0563e+000 -1.0535e+000 +1.5186e+000 +3.1261e+000 -3.7354e+000
6294 +6.308955810e-002 +6.308955810e-002 -5.228691044e+001 -5.228691044e+001 -8.4085e-001 -1.2792e+000 +2.6600e+000 -2.4123e+000 -1.4102e+000 +3.5004e+000 -3.8930e+000 +9.7860e-002 +2.6636e+000 -1.6395e+000 +2.9819e+000 -5.8319e-001 +3.5969e+000 -7.7381e-001 -2.0535e+000 +1.0459e+000 -1.0460e+000 +1.5797e+000 +3.0691e+000 -3.6871e+000
6703 +3.859825619e-002 +3.859825619e-002 -5.231140174e+001 -5.231140174e+001 -8.7166e-001 -1.3049e+000 +2.6422e+000 -2.3946e+000 -1.4323e+000 +3.4885e+000 -3.9012e+000 +7.8201e-002 +2.7060e+000 -1.6379e+000 +2.9719e+000 -5.4324e-001 +3.6001e+000 -7.4864e-001 -2.0554e+000 +1.0915e+000 -1.0551e+000 +1.6652e+000 +3.0639e+000 -3.8352e+000
7008 +2.089638798e-002 +2.089638798e-002 -5.232910361e+001 -5.232910361e+001 -8.5672e-001 -1.2837e+000 +2.6392e+000 -2.3572e+000 -1.5064e+000 +3.5303e+000 -3.8931e+000 +8.2180e-002 +2.7090e+000 -1.6362e+000 +2.9564e+000 -5.4496e-001 +3.5965e+000 -7.5515e-001 -2.0638e+000 +1.0984e+000 -1.0903e+000 +1.6616e+000 +2.9875e+000 -3.9042e+000
7457 +1.217947597e-002 +1.217947597e-002 -5.233782052e+001 -5.233782052e+001 -8.4184e-001 -1.2931e+000 +2.6238e+000 -2.3148e+000 -1.5232e+000 +3.5767e+000 -3.9040e+000 +6.7501e-002 +2.7292e+000 -1.6733e+000 +2.9423e+000 -5.3721e-001 +3.5659e+000 -7.4212e-001 -2.0629e+000 +1.1107e+000 -1.0824e+000 +1.6644e+000 +3.0110e+000 -3.8994e+000
9264 +9.759507860e-003 +9.759507860e-003 -5.234024049e+001 -5.234024049e+001 -8.2976e-001 -1.3029e+000 +2.6148e+000 -2.3306e+000 -1.5166e+000 +3.5841e+000 -3.9046e+000 +2.9460e-002 +2.7327e+000 -1.6661e+000 +2.9871e+000 -5.4273e-001 +3.5461e+000 -7.5202e-001 -2.0607e+000 +1.1503e+000 -1.1223e+000 +1.6897e+000 +2.9904e+000 -3.8972e+000
12319 +6.223263826e-003 +6.223263826e-003 -5.234377674e+001 -5.234377674e+001 -8.3542e-001 -1.3116e+000 +2.6019e+000 -2.3311e+000 -1.5097e+000 +3.6147e+000 -3.8951e+000 +2.4083e-002 +2.7443e+000 -1.6851e+000 +2.9710e+000 -5.4547e-001 +3.5322e+000 -7.5792e-001 -2.0433e+000 +1.1609e+000 -1.1110e+000 +1.6957e+000 +3.0258e+000 -3.9041e+000
15845 +3.971821570e-003 +3.971821570e-003 -5.234602818e+001 -5.234602818e+001 -8.3506e-001 -1.2865e+000 +2.6033e+000 -2.3132e+000 -1.5292e+000 +3.6141e+000 -3.9014e+000 +2.3399e-002 +2.7390e+000 -1.6845e+000 +2.9726e+000 -5.5299e-001 +3.5169e+000 -7.8051e-001 -2.0364e+000 +1.1439e+000 -1.1132e+000 +1.7095e+000 +3.0359e+000 -3.9061e+000
22408 +2.511779804e-003 +2.511779804e-003 -5.234748822e+001 -5.234748822e+001 -8.3570e-001 -1.2881e+000 +2.5965e+000 -2.3276e+000 -1.5319e+000 +3.6050e+000 -3.9060e+000 +1.3126e-002 +2.7422e+000 -1.6930e+000 +2.9821e+000 -5.4742e-001 +3.5201e+000 -8.0056e-001 -2.0214e+000 +1.1635e+000 -1.1250e+000 +1.7190e+000 +3.0475e+000 -3.9051e+000
35107 +1.584687757e-003 +1.584687757e-003 -5.234841531e+001 -5.234841531e+001 -8.3648e-001 -1.2788e+000 +2.5932e+000 -2.3342e+000 -1.5294e+000 +3.6038e+000 -3.9054e+000 +1.9993e-002 +2.7486e+000 -1.6983e+000 +2.9851e+000 -5.4062e-001 +3.5259e+000 -8.2924e-001 -2.0044e+000 +1.1625e+000 -1.1267e+000 +1.7234e+000 +3.0506e+000 -3.9183e+000
