% function evaluation | noise-free fitness - Fopt (1.026100000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.998112668e+002 +8.998112668e+002 +1.002421267e+003 +1.002421267e+003 -1.3514e+000 +4.0917e+000 +1.6353e+000 +4.9288e+000 -2.7964e+000 +2.6393e+000 -4.2087e+000 -2.9730e+000 +5.6525e-001 -2.4495e+000 +3.0268e+000 -4.4580e+000 +4.6595e+000 +3.9267e+000 +9.6713e-001 -1.1107e+000 +4.3288e+000 +3.6283e+000 +3.5109e+000 +3.7019e+000
41 +5.654361526e+002 +5.654361526e+002 +6.680461526e+002 +6.680461526e+002 -5.0000e+000 +1.0038e+000 -3.3647e+000 +1.5669e+000 -5.2988e-001 +1.1076e+000 +7.9126e-001 -1.2764e+000 -9.6949e-001 +2.5505e+000 +3.8267e-001 -5.0000e+000 -3.4049e-001 -1.6828e-001 +1.4526e+000 +3.8893e+000 -6.7119e-001 -1.3717e+000 -1.4891e+000 +2.3848e+000
130 +3.681339214e+002 +3.681339214e+002 +4.707439214e+002 +4.707439214e+002 -3.3517e+000 +1.6406e+000 -5.4068e-001 +3.7430e-001 -7.5691e-001 +2.6158e+000 -2.2898e+000 -1.9737e+000 -6.3631e-002 +2.7733e+000 +7.4838e-001 +0.0000e+000 -1.0982e+000 +3.8983e-001 -2.5889e+000 -6.4834e-001 -7.3313e-001 +3.8217e-001 +2.6517e+000 +1.2334e-001
878 +2.484530977e+002 +2.484530977e+002 +3.510630977e+002 +3.510630977e+002 +1.8714e+000 +9.1013e-001 -4.5473e-001 +5.3780e-001 -3.2613e-001 -3.7388e-001 -2.3111e+000 -1.3826e+000 +9.0931e-001 -4.5607e-001 -1.0119e+000 -2.0800e+000 -8.3686e-001 +2.6153e+000 -1.1697e+000 -6.7854e-001 -1.6653e+000 -1.4343e+000 +4.8329e-001 -2.3626e+000
5512 +1.551233150e+002 +1.551233150e+002 +2.577333150e+002 +2.577333150e+002 +2.6519e+000 +1.0541e+000 -1.2452e+000 +1.4238e+000 -8.4553e-001 -1.7771e+000 -8.2274e-001 -1.0935e+000 -4.7737e-002 +5.3204e-001 -5.5900e-001 -1.9417e+000 -1.0702e+000 +1.6261e+000 -1.6132e+000 -2.1179e+000 -1.5044e+000 +1.9443e-001 -2.7632e-001 -6.9186e-001
109566 +9.939735481e+001 +9.939735481e+001 +2.020073548e+002 +2.020073548e+002 +2.6994e+000 +5.5396e-001 -1.2467e+000 +1.4805e+000 -8.2507e-001 -1.7021e+000 -8.1274e-001 -1.0724e+000 -1.8696e+000 +3.7580e-001 -1.5623e+000 -1.7771e+000 -1.1699e+000 +1.5908e+000 -8.6370e-001 -3.2772e+000 -1.5344e+000 +1.1868e-001 -2.0948e-001 +9.4594e-001
201336 +6.308898657e+001 +6.308898657e+001 +1.656989866e+002 +1.656989866e+002 +2.6914e+000 +5.5533e-001 -1.2534e+000 +1.4773e+000 -7.6631e-001 -1.6915e+000 -7.7594e-001 -1.0652e+000 -1.8704e+000 +4.1010e-001 -1.5597e+000 -1.7962e+000 -1.1632e+000 +1.5962e+000 -8.7409e-001 -3.2833e+000 -1.4980e+000 +9.7132e-002 -2.3019e-001 +9.7412e-001
% function evaluation | noise-free fitness - Fopt (9.330000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.082661846e+002 +8.082661846e+002 +9.015661846e+002 +9.015661846e+002 -4.9368e+000 +3.3004e+000 -8.6049e-001 -9.5019e-002 +5.3499e-002 -3.6221e-001 -4.6801e+000 -4.2819e+000 +2.3580e+000 +2.7826e+000 -5.5578e-001 +3.3760e+000 +4.5902e+000 +4.5460e+000 +1.6357e+000 +2.9599e+000 -1.7699e+000 +3.9190e+000 +1.4161e+000 -1.3485e+000
27 +6.242815361e+002 +6.242815361e+002 +7.175815361e+002 +7.175815361e+002 -1.7593e+000 -2.1170e+000 -2.3998e+000 -2.7228e+000 -1.9711e+000 -3.8663e+000 -3.4053e+000 -1.2159e+000 +1.7362e+000 -1.7870e+000 -1.0709e+000 +3.9281e+000 +2.1007e-001 +1.4274e-001 +3.1948e+000 -4.4157e+000 -3.4684e+000 -1.1902e+000 -2.8824e+000 -5.5719e-001
121 +3.423712239e+002 +3.423712239e+002 +4.356712239e+002 +4.356712239e+002 +9.0103e-001 -1.8167e+000 +5.5203e-001 +0.0000e+000 -8.1488e-002 +4.9205e-001 -2.2246e+000 +2.0623e+000 -3.5580e+000 +0.0000e+000 +1.4046e+000 -2.0073e+000 +4.5618e+000 +7.3708e-001 -1.2927e+000 -1.4286e+000 -2.1017e+000 +8.0539e-001 -1.2661e-001 -1.3325e+000
566 +2.343306046e+002 +2.343306046e+002 +3.276306046e+002 +3.276306046e+002 +9.3004e-001 +3.9151e-001 -9.5661e-002 -2.1474e+000 -2.1444e+000 -4.0210e-001 -1.8750e+000 +2.0727e+000 -4.1604e+000 -4.1848e-001 +2.5903e+000 +1.8817e+000 +2.0393e+000 -6.0911e-001 +1.7661e-001 +1.2154e+000 -2.1629e+000 +3.3457e+000 -2.8611e+000 -8.3039e-001
