% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.441204591e+03 +1.441204591e+03 +2.441204591e+03 +2.441204591e+03 -8.6383e-01 +1.3378e+00 +3.0877e+00 -2.6961e+00 -1.9509e+00 +1.4103e+00 -4.3628e+00 -9.8950e-01 -1.9879e+00 +3.3542e+00 +1.2458e+00 -3.3040e+00 +4.3667e+00 +6.2524e-01 -1.0441e+00 -2.2014e+00 +4.1888e+00 +1.3499e+00 -4.0547e+00 -3.8552e+00
6 +9.517640539e+02 +9.517640539e+02 +1.951764054e+03 +1.951764054e+03 -2.9771e+00 +1.3758e+00 +4.2395e+00 -3.0126e+00 +3.4391e+00 -1.3696e+00 -2.1607e+00 -4.1753e-01 -2.9562e+00 -4.9647e+00 -1.2892e-01 -4.7169e+00 +3.5938e+00 -1.8901e+00 +3.8375e+00 +1.2290e-01 -1.1307e-01 -9.0882e-01 +9.4439e-01 -4.5660e+00
42 +5.894113755e+02 +5.894113755e+02 +1.589411376e+03 +1.589411376e+03 -4.9703e+00 +2.3076e+00 +1.0305e+00 +4.5570e-01 +4.9647e+00 -2.9461e-02 -2.4198e+00 +1.1362e+00 -1.8242e+00 +1.9960e+00 -4.6106e+00 -2.4554e+00 -4.6116e+00 -2.4275e+00 +2.2085e+00 -7.9995e-01 +2.5426e+00 -2.7683e+00 +1.3965e-01 -3.1366e+00
7298 +3.832827661e+02 +3.832827661e+02 +1.383282766e+03 +1.383282766e+03 -7.5181e-01 +4.8879e+00 +2.7665e+00 +2.9587e+00 +3.2887e+00 -4.6162e+00 -3.0660e+00 +2.7514e+00 -4.5476e+00 +2.4750e+00 -6.7376e-01 +5.2950e-01 +8.6718e-01 -5.3253e-01 +2.0977e+00 +5.0669e-01 +3.4581e+00 +1.8904e+00 +1.4152e+00 -1.4553e+00
23706 +2.470616192e+02 +2.470616192e+02 +1.247061619e+03 +1.247061619e+03 -1.6353e+00 +4.5430e+00 +4.6001e+00 +4.8357e+00 +3.0489e+00 -3.4774e+00 -3.1499e+00 +2.9893e-02 -2.3006e+00 +7.1951e-01 -2.3900e+00 +1.4958e+00 -6.5591e-01 -1.4350e+00 +4.2584e+00 +2.8104e+00 +4.5355e+00 -2.4978e+00 -4.1843e+00 +9.3809e-01
35732 +1.583684843e+02 +1.583684843e+02 +1.158368484e+03 +1.158368484e+03 -3.9487e+00 +2.4858e+00 +3.3391e+00 +3.3755e+00 +3.0489e+00 -1.4565e+00 -1.7707e+00 -1.5636e+00 -1.1622e+00 -2.7279e-01 -2.6726e+00 -4.9530e-01 -1.7546e+00 -4.0889e+00 +2.5380e+00 +3.7486e+00 +4.6595e+00 -2.2589e+00 -2.1622e+00 -1.0125e+00
103673 +8.844861339e+01 +8.844861339e+01 +1.088448613e+03 +1.088448613e+03 -2.5136e+00 +2.4858e+00 +3.0430e+00 +3.3755e+00 +3.0489e+00 -3.0667e+00 -2.1874e+00 +3.1486e-01 -9.3088e-01 -4.1428e-01 -1.1459e+00 -1.8035e-01 -7.7207e-01 -3.4844e+00 +2.4641e+00 +3.3050e+00 +4.0663e+00 -1.2803e+00 +4.8678e-01 -8.0875e-01
177184 +5.745117807e+01 +5.745117807e+01 +1.057451178e+03 +1.057451178e+03 -3.4105e+00 +2.4670e+00 +3.3391e+00 +3.3779e+00 +2.9019e+00 -3.4774e+00 -2.4999e+00 +4.3142e-01 -2.0107e+00 -4.1427e-01 -1.3388e+00 -9.8015e-01 -7.0893e-02 -4.9361e+00 +3.1309e+00 +3.9129e+00 +3.8288e+00 -1.1306e+00 -5.2207e-01 +2.0821e-01
219383 +3.980976862e+01 +3.980976862e+01 +1.039809769e+03 +1.039809769e+03 -3.4105e+00 +2.4279e+00 +3.3391e+00 +3.3952e+00 +2.8921e+00 -3.4774e+00 -2.4560e+00 +4.3140e-01 -1.9326e+00 -3.4587e-01 -1.3825e+00 -1.0632e+00 -7.0893e-02 -4.9361e+00 +3.2100e+00 +3.9129e+00 +3.8288e+00 -1.2087e+00 -5.2207e-01 +8.1914e-02
334570 +2.511258790e+01 +2.511258790e+01 +1.025112588e+03 +1.025112588e+03 -3.4373e+00 +2.4276e+00 +3.3587e+00 +3.4145e+00 +2.8920e+00 -3.3744e+00 -2.4545e+00 +4.5097e-01 -1.9668e+00 -3.4587e-01 -1.4171e+00 -9.8504e-01 -6.1128e-02 -4.9360e+00 +3.2289e+00 +3.9067e+00 +3.8288e+00 -1.2478e+00 -5.4654e-01 +1.6915e-01
