% function evaluation | noise-free fitness - Fopt (7.948000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.581907793e+002 +2.581907793e+002 +3.376707793e+002 +3.376707793e+002 -9.4502e-001 -3.2540e-001 -9.8204e-001 +2.1205e+000 +4.9945e+000 -2.3803e+000 -2.3685e+000 -6.1365e-001 -6.9462e-001 +3.9497e+000 -1.3194e+000 +4.8215e-001 -2.6276e+000 +3.7297e+000 -3.0406e+000 -2.5280e+000 +2.4619e+000 -3.7561e+000 -1.2205e+000 +2.9758e+000
4 +2.440401890e+002 +2.440401890e+002 +3.235201890e+002 +3.235201890e+002 -1.1408e+000 +4.5113e+000 -2.5354e+000 +3.9490e+000 +6.2486e-001 -2.1541e+000 -4.4606e+000 +1.1240e+000 -3.0435e+000 +1.8662e+000 +6.7130e-001 -1.7730e+000 +3.5587e-001 +3.8865e+000 -3.0012e+000 -1.3411e+000 -4.3452e+000 -1.7505e+000 +4.0704e+000 +1.5312e+000
6 +1.305964685e+002 +1.305964685e+002 +2.100764685e+002 +2.100764685e+002 -2.1630e-002 +1.2645e+000 +1.6043e+000 +2.4714e+000 +9.9054e-001 +3.1368e+000 +2.2061e+000 -7.8518e-001 -2.0123e+000 +4.0107e+000 -1.6138e+000 +3.7708e+000 +6.9978e-001 +7.5488e-001 +2.4210e+000 +2.4674e+000 +2.0371e+000 -1.7389e+000 -1.1627e+000 +4.4266e+000
53 +8.218098596e+001 +8.218098596e+001 +1.616609860e+002 +1.616609860e+002 -1.7071e+000 -8.0825e-001 +1.5495e-001 +5.0000e+000 -8.0852e-001 +1.7981e+000 +9.9243e-001 +2.6977e+000 -2.0848e+000 -5.0000e+000 -1.0912e+000 +4.9699e+000 +1.3485e+000 +1.2154e+000 +5.0000e+000 -3.5830e-001 +2.5607e+000 -1.5506e+000 +8.2767e-001 +3.5790e+000
86 +5.909531792e+001 +5.909531792e+001 +1.385753179e+002 +1.385753179e+002 -9.9154e-001 -4.3529e-001 +1.4204e-001 +4.2737e+000 -2.5658e-001 +2.5241e-001 +1.6642e+000 +7.7369e-001 -2.0845e+000 +5.3652e-001 -2.7269e+000 +4.1155e+000 +1.7391e+000 +1.3040e+000 +3.2899e+000 +0.0000e+000 +9.2074e-001 -1.9056e+000 +4.8182e-001 +3.0432e+000
227 +3.926840642e+001 +3.926840642e+001 +1.187484064e+002 +1.187484064e+002 -2.4603e-001 +0.0000e+000 +1.2273e-001 +4.9546e+000 +3.8167e-001 -7.7618e-001 -4.2897e-001 -6.7162e-001 -3.2693e+000 -2.8654e+000 -3.4763e+000 +2.5365e+000 -3.0980e-001 +0.0000e+000 +3.5038e+000 +2.2918e-001 -1.5824e+000 -3.7136e+000 +1.0313e+000 +1.4240e+000
641 +2.246817250e+001 +2.246817250e+001 +1.019481725e+002 +1.019481725e+002 -5.8476e-001 -1.8037e+000 +0.0000e+000 +4.6274e+000 -3.0843e+000 +9.3216e-001 -5.9339e-001 +1.6521e+000 -3.3307e+000 -2.2859e+000 -2.5992e+000 +1.5945e+000 +1.7786e+000 -1.8770e+000 +2.8599e+000 +2.7176e+000 -4.3705e-001 -4.2419e+000 +1.4717e+000 +1.2395e+000
904 +1.150521521e+001 +1.150521521e+001 +9.098521521e+001 +9.098521521e+001 +1.3096e+000 -8.0247e-001 -5.1667e-002 +4.4741e+000 -3.5690e+000 +5.5992e-001 +7.8925e-001 +6.3338e-002 -1.0965e+000 -2.9172e+000 -3.4048e+000 +1.2261e+000 +7.8899e-001 +2.0651e-001 +3.7634e+000 +2.9276e+000 -5.8302e-001 -4.0575e+000 +2.6319e+000 +1.0956e+000
1372 +9.767534547e+000 +9.767534547e+000 +8.924753455e+001 +8.924753455e+001 +1.3306e+000 -8.4466e-001 -7.5695e-001 +4.2803e+000 -3.5731e+000 +5.5738e-001 +7.2267e-001 +5.5437e-002 -1.1425e+000 -2.9255e+000 -3.3681e+000 +2.0070e+000 +6.7009e-001 +5.5501e-001 +3.8076e+000 +2.9690e+000 -5.9993e-001 -4.0630e+000 +2.6197e+000 +1.1964e+000
1652 +5.739772311e+000 +5.739772311e+000 +8.521977231e+001 +8.521977231e+001 +4.9835e-001 -5.8501e-001 -3.6304e-001 +3.6906e+000 -3.2066e+000 +1.2373e+000 -3.4912e-002 +5.2075e-001 -1.6095e+000 -3.0215e+000 -3.1337e+000 +1.7494e+000 +1.1565e+000 -8.5228e-003 +3.9004e+000 +3.0778e+000 -5.9941e-001 -4.1540e+000 +2.3370e+000 +1.5987e+000
2039 +3.803866468e+000 +3.803866468e+000 +8.328386647e+001 +8.328386647e+001 -5.9389e-001 -9.3921e-001 -1.0553e+000 +2.8353e+000 -2.8462e+000 +6.1554e-001 +2.3193e-001 +4.3706e-001 -2.0372e+000 -3.1429e+000 -3.1821e+000 +1.2081e+000 +1.1676e+000 -3.1176e-001 +3.9749e+000 +3.1425e+000 +1.3376e-001 -4.0865e+000 +2.5666e+000 +9.1291e-001
2520 +2.262733516e+000 +2.262733516e+000 +8.174273352e+001 +8.174273352e+001 +6.5827e-001 -1.4014e+000 -1.2181e+000 +2.5820e+000 -2.7150e+000 +4.0575e-001 -3.0085e-001 +5.8994e-001 -2.3134e+000 -3.1176e+000 -3.3898e+000 +1.9695e+000 +1.1277e+000 -2.3632e-001 +4.0143e+000 +2.8510e+000 +2.9268e-001 -3.9290e+000 +2.2034e+000 +1.0990e+000
2892 +1.481014730e+000 +1.481014730e+000 +8.096101473e+001 +8.096101473e+001 +5.4950e-001 -6.3033e-001 -9.6596e-001 +2.0964e+000 -2.6861e+000 +3.0845e-001 -1.8213e-001 +7.1552e-001 -1.8035e+000 -3.1579e+000 -3.5705e+000 +1.9943e+000 +1.0711e+000 -3.4416e-001 +4.0246e+000 +3.2693e+000 +2.9020e-001 -3.8624e+000 +2.2925e+000 +1.2474e+000
3068 +9.561989919e-001 +9.561989919e-001 +8.043619899e+001 +8.043619899e+001 +3.9389e-001 -1.3453e+000 -1.0224e+000 +1.9393e+000 -2.5636e+000 +2.9590e-001 -3.0306e-001 +6.1709e-001 -1.7461e+000 -3.0653e+000 -3.4682e+000 +1.5433e+000 +1.1543e+000 -1.8659e-001 +3.6294e+000 +2.6304e+000 -9.8491e-003 -3.9830e+000 +2.3532e+000 +1.4119e+000
3508 +5.982357814e-001 +5.982357814e-001 +8.007823578e+001 +8.007823578e+001 +4.0548e-001 -1.3721e+000 -6.8300e-001 +1.9742e+000 -2.7592e+000 +1.8101e-001 -3.3367e-001 +8.4199e-002 -1.6902e+000 -2.8888e+000 -3.4603e+000 +1.7115e+000 +1.0746e+000 -9.1648e-002 +3.7154e+000 +2.6635e+000 -1.1436e-001 -3.9969e+000 +2.6001e+000 +1.3826e+000
4031 +3.187480605e-001 +3.187480605e-001 +7.979874806e+001 +7.979874806e+001 +2.9639e-001 -8.4832e-001 -6.3722e-001 +1.9396e+000 -2.7173e+000 +4.1197e-001 -2.1818e-001 +1.9855e-001 -1.6349e+000 -3.1682e+000 -3.6843e+000 +1.7744e+000 +1.0892e+000 -6.8371e-002 +3.7667e+000 +3.0536e+000 -1.2555e-001 -4.0196e+000 +2.5756e+000 +1.2855e+000
4216 +2.476800810e-001 +2.476800810e-001 +7.972768008e+001 +7.972768008e+001 +2.9843e-001 -8.6982e-001 -7.1559e-001 +1.7599e+000 -2.7585e+000 +4.8460e-001 -2.3118e-001 +1.8680e-001 -1.6235e+000 -3.1277e+000 -3.6770e+000 +1.8581e+000 +1.0870e+000 -3.3542e-002 +3.6871e+000 +2.9750e+000 -1.4136e-001 -4.0352e+000 +2.5015e+000 +1.2703e+000
4775 +1.584729163e-001 +1.584729163e-001 +7.963847292e+001 +7.963847292e+001 +3.8649e-001 -9.1325e-001 -7.7224e-001 +1.9751e+000 -2.7140e+000 +4.5002e-001 -2.4514e-001 +1.9444e-001 -1.5268e+000 -3.0150e+000 -3.9234e+000 +1.8967e+000 +1.0847e+000 -1.0769e-002 +3.5965e+000 +2.9482e+000 -1.7770e-001 -3.8764e+000 +2.4343e+000 +1.3722e+000
5070 +8.274140381e-002 +8.274140381e-002 +7.956274140e+001 +7.956274140e+001 +3.5151e-001 -1.1351e+000 -7.9289e-001 +1.9705e+000 -2.7192e+000 +4.5172e-001 -2.3697e-001 +1.6180e-001 -1.6517e+000 -3.0462e+000 -3.8463e+000 +1.8916e+000 +1.0863e+000 +5.8275e-002 +3.5983e+000 +2.9518e+000 -1.8142e-001 -3.8973e+000 +2.4020e+000 +1.3956e+000
5897 +6.237755982e-002 +6.237755982e-002 +7.954237756e+001 +7.954237756e+001 +2.9434e-001 -1.0968e+000 -7.2380e-001 +1.9626e+000 -2.7357e+000 +4.5677e-001 -2.3409e-001 +1.6373e-001 -1.6673e+000 -3.0646e+000 -3.8412e+000 +1.9129e+000 +1.1059e+000 +4.5752e-002 +3.6817e+000 +2.9253e+000 -1.5977e-001 -3.8803e+000 +2.3954e+000 +1.3269e+000
6324 +3.931196386e-002 +3.931196386e-002 +7.951931196e+001 +7.951931196e+001 +2.7481e-001 -1.1674e+000 -7.1671e-001 +1.9607e+000 -2.7440e+000 +4.6578e-001 -2.3885e-001 +1.6952e-001 -1.7067e+000 -3.0677e+000 -3.8587e+000 +1.9528e+000 +1.1046e+000 -7.1375e-002 +3.7072e+000 +2.9107e+000 -9.7612e-002 -3.8916e+000 +2.3509e+000 +1.3544e+000
6524 +2.145759384e-002 +2.145759384e-002 +7.950145759e+001 +7.950145759e+001 +2.6142e-001 -1.1295e+000 -7.2927e-001 +1.9702e+000 -2.7314e+000 +4.2662e-001 -1.4653e-001 +1.6039e-001 -1.6609e+000 -3.0739e+000 -3.8339e+000 +1.9917e+000 +1.0969e+000 -1.1668e-001 +3.7404e+000 +2.9312e+000 -1.0612e-001 -3.9251e+000 +2.3602e+000 +1.3297e+000
7055 +1.570516927e-002 +1.570516927e-002 +7.949570517e+001 +7.949570517e+001 +2.6025e-001 -1.1480e+000 -7.2826e-001 +1.9353e+000 -2.7294e+000 +4.3347e-001 -1.3011e-001 +1.4778e-001 -1.6965e+000 -3.0787e+000 -3.8475e+000 +2.0000e+000 +1.1013e+000 -9.5335e-002 +3.7257e+000 +2.9313e+000 -1.3597e-001 -3.9350e+000 +2.3578e+000 +1.3372e+000
7824 +9.712781740e-003 +9.712781740e-003 +7.948971278e+001 +7.948971278e+001 +2.1482e-001 -1.1608e+000 -7.1866e-001 +1.9393e+000 -2.6718e+000 +4.4781e-001 -1.2377e-001 +1.3721e-001 -1.7002e+000 -3.0672e+000 -3.8532e+000 +2.0039e+000 +1.0732e+000 -8.5950e-002 +3.6806e+000 +2.9319e+000 -1.2036e-001 -3.9446e+000 +2.3340e+000 +1.3760e+000
8527 +4.862896629e-003 +4.862896629e-003 +7.948486290e+001 +7.948486290e+001 +2.8025e-001 -1.1442e+000 -7.1870e-001 +1.9107e+000 -2.6581e+000 +4.4694e-001 -1.1676e-001 +1.0596e-001 -1.6667e+000 -3.0641e+000 -3.8460e+000 +1.9905e+000 +1.1044e+000 -9.1157e-002 +3.6491e+000 +2.9318e+000 -1.1316e-001 -3.9385e+000 +2.3666e+000 +1.3520e+000
8735 +2.399993976e-003 +2.399993976e-003 +7.948239999e+001 +7.948239999e+001 +2.6777e-001 -1.1458e+000 -7.1869e-001 +1.9280e+000 -2.6778e+000 +4.3438e-001 -1.2069e-001 +1.1404e-001 -1.6527e+000 -3.0650e+000 -3.8512e+000 +1.9935e+000 +1.0878e+000 -9.0001e-002 +3.6380e+000 +2.9317e+000 -1.2841e-001 -3.9369e+000 +2.3487e+000 +1.3483e+000
10013 +1.565808373e-003 +1.565808373e-003 +7.948156581e+001 +7.948156581e+001 +2.5403e-001 -1.1446e+000 -7.2020e-001 +1.9365e+000 -2.6761e+000 +4.3663e-001 -1.1750e-001 +1.1250e-001 -1.6351e+000 -3.0619e+000 -3.8578e+000 +2.0111e+000 +1.0861e+000 -7.5073e-002 +3.6413e+000 +2.9319e+000 -1.1833e-001 -3.9322e+000 +2.3454e+000 +1.3566e+000
10692 +9.799347092e-004 +9.799347092e-004 +7.948097993e+001 +7.948097993e+001 +2.5534e-001 -1.1480e+000 -7.2416e-001 +1.9351e+000 -2.6760e+000 +4.3750e-001 -1.1837e-001 +1.1497e-001 -1.6371e+000 -3.0624e+000 -3.8583e+000 +2.0156e+000 +1.0852e+000 -8.1985e-002 +3.6470e+000 +2.9314e+000 -1.1869e-001 -3.9338e+000 +2.3599e+000 +1.3550e+000
11204 +5.630201357e-004 +5.630201357e-004 +7.948056302e+001 +7.948056302e+001 +2.6246e-001 -1.1519e+000 -7.2295e-001 +1.9286e+000 -2.6763e+000 +4.3438e-001 -1.1910e-001 +1.1519e-001 -1.6369e+000 -3.0625e+000 -3.8574e+000 +2.0118e+000 +1.0884e+000 -8.0403e-002 +3.6492e+000 +2.9202e+000 -1.2441e-001 -3.9293e+000 +2.3657e+000 +1.3630e+000
11582 +3.128118243e-004 +3.128118243e-004 +7.948031281e+001 +7.948031281e+001 +2.4940e-001 -1.1540e+000 -7.2353e-001 +1.9307e+000 -2.6796e+000 +4.3427e-001 -1.1849e-001 +1.1537e-001 -1.6341e+000 -3.0602e+000 -3.8574e+000 +2.0175e+000 +1.0851e+000 -8.3077e-002 +3.6509e+000 +2.9124e+000 -1.1964e-001 -3.9316e+000 +2.3655e+000 +1.3635e+000
12066 +2.122014191e-004 +2.122014191e-004 +7.948021220e+001 +7.948021220e+001 +2.5036e-001 -1.1598e+000 -7.2026e-001 +1.9313e+000 -2.6842e+000 +4.3491e-001 -1.1951e-001 +1.1461e-001 -1.6339e+000 -3.0518e+000 -3.8545e+000 +2.0155e+000 +1.0856e+000 -8.5637e-002 +3.6488e+000 +2.9147e+000 -1.2268e-001 -3.9273e+000 +2.3650e+000 +1.3635e+000
12572 +1.382551319e-004 +1.382551319e-004 +7.948013826e+001 +7.948013826e+001 +2.5433e-001 -1.1558e+000 -7.2436e-001 +1.9298e+000 -2.6810e+000 +4.3498e-001 -1.1723e-001 +1.1490e-001 -1.6348e+000 -3.0565e+000 -3.8535e+000 +2.0168e+000 +1.0852e+000 -8.6286e-002 +3.6436e+000 +2.9110e+000 -1.2142e-001 -3.9258e+000 +2.3640e+000 +1.3605e+000
12741 +9.395286550e-005 +9.395286550e-005 +7.948009395e+001 +7.948009395e+001 +2.5346e-001 -1.1577e+000 -7.2677e-001 +1.9303e+000 -2.6812e+000 +4.3822e-001 -1.1784e-001 +1.1586e-001 -1.6351e+000 -3.0550e+000 -3.8528e+000 +2.0155e+000 +1.0862e+000 -8.6987e-002 +3.6449e+000 +2.9094e+000 -1.2158e-001 -3.9254e+000 +2.3625e+000 +1.3609e+000
13288 +6.179215619e-005 +6.179215619e-005 +7.948006179e+001 +7.948006179e+001 +2.5327e-001 -1.1565e+000 -7.2590e-001 +1.9278e+000 -2.6816e+000 +4.3738e-001 -1.1736e-001 +1.1877e-001 -1.6367e+000 -3.0551e+000 -3.8536e+000 +2.0151e+000 +1.0887e+000 -8.6643e-002 +3.6467e+000 +2.9090e+000 -1.2110e-001 -3.9256e+000 +2.3642e+000 +1.3605e+000
14107 +3.637258574e-005 +3.637258574e-005 +7.948003637e+001 +7.948003637e+001 +2.5187e-001 -1.1567e+000 -7.2444e-001 +1.9264e+000 -2.6809e+000 +4.3868e-001 -1.1776e-001 +1.2002e-001 -1.6366e+000 -3.0544e+000 -3.8544e+000 +2.0177e+000 +1.0870e+000 -8.5140e-002 +3.6477e+000 +2.9086e+000 -1.2296e-001 -3.9256e+000 +2.3605e+000 +1.3604e+000
14347 +2.454711060e-005 +2.454711060e-005 +7.948002455e+001 +7.948002455e+001 +2.5233e-001 -1.1568e+000 -7.2443e-001 +1.9264e+000 -2.6799e+000 +4.3773e-001 -1.1608e-001 +1.1991e-001 -1.6366e+000 -3.0532e+000 -3.8543e+000 +2.0171e+000 +1.0849e+000 -8.5102e-002 +3.6481e+000 +2.9090e+000 -1.2277e-001 -3.9266e+000 +2.3623e+000 +1.3602e+000
15007 +1.536010528e-005 +1.536010528e-005 +7.948001536e+001 +7.948001536e+001 +2.5291e-001 -1.1571e+000 -7.2443e-001 +1.9265e+000 -2.6800e+000 +4.3906e-001 -1.1507e-001 +1.2024e-001 -1.6366e+000 -3.0509e+000 -3.8537e+000 +2.0169e+000 +1.0878e+000 -8.6976e-002 +3.6476e+000 +2.9090e+000 -1.2307e-001 -3.9288e+000 +2.3624e+000 +1.3602e+000
