% function evaluation | noise-free fitness - Fopt (7.135000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.786642281e+01 +8.786642281e+01 +1.592164228e+02 +1.592164228e+02 +3.2774e+00 -2.5390e-01 -1.3876e+00 +2.0858e+00 +2.4981e+00 -1.3405e+00 +1.6403e-01 +2.8255e+00 +7.7208e-01 -1.1571e+00 -4.9910e+00 +6.0183e-01 +5.9347e-01 +2.8534e+00 +4.3013e-01 -3.7669e-01 -2.6051e+00 -3.1032e+00 +1.5205e+00 +3.1533e+00
8 +6.196265239e+01 +6.196265239e+01 +1.333126524e+02 +1.333126524e+02 +5.6139e-01 +1.8809e+00 -1.4510e-01 -2.7570e+00 +3.9574e+00 +4.6529e+00 +1.8281e+00 -4.5049e+00 +3.0285e+00 +1.2288e+00 +2.8543e+00 +2.5034e+00 -4.8959e+00 -9.5604e-01 -2.5521e+00 +3.0340e+00 -3.4917e-01 +4.5433e+00 -5.2529e-01 +4.3856e+00
381 +2.174757439e+01 +2.174757439e+01 +9.309757439e+01 +9.309757439e+01 -3.1654e+00 -1.1683e-01 +2.7428e+00 +2.5694e+00 -1.3755e+00 -6.9599e-01 -2.6372e+00 +2.3214e+00 +1.7230e+00 +3.0301e+00 -2.5564e+00 -1.5355e+00 +3.2653e+00 +2.3663e+00 +4.2880e+00 -3.6803e+00 -4.5825e+00 +1.9163e+00 +8.8752e-01 -2.5278e+00
85851 +1.536107695e+01 +1.536107695e+01 +8.671107695e+01 +8.671107695e+01 -3.9027e+00 +1.8927e-01 -4.0580e+00 -3.7337e+00 +4.1820e+00 -4.7011e+00 +3.2592e+00 -3.8422e+00 -1.4141e+00 -3.9866e+00 -2.3924e+00 -4.4794e+00 +1.9259e+00 -4.7670e-02 -2.3605e+00 +5.6655e-01 +2.4265e+00 -3.5971e+00 +2.4878e-01 -4.5851e+00
160540 +9.794668361e+00 +9.794668361e+00 +8.114466836e+01 +8.114466836e+01 +2.5289e+00 +3.5860e+00 -8.2670e-01 +2.2768e+00 +2.4247e+00 +3.3098e+00 -3.8181e+00 +4.2089e+00 -1.6672e+00 -1.1675e+00 +3.4419e-01 +1.2117e+00 -5.0904e-01 -2.8897e+00 +1.4578e+00 +2.1389e+00 -1.3252e+00 +1.6514e+00 -4.3030e+00 -2.0772e-01
210402 +5.903590431e+00 +5.903590431e+00 +7.725359043e+01 +7.725359043e+01 +2.6851e+00 +3.5860e+00 -6.7045e-01 +2.3165e+00 +2.4247e+00 +3.3098e+00 -3.8178e+00 +4.2086e+00 -1.6043e+00 -1.1675e+00 +3.4908e-01 +1.2117e+00 -5.0904e-01 -2.8897e+00 +1.4626e+00 +2.1395e+00 -1.3276e+00 +1.6514e+00 -4.3747e+00 -2.8584e-01
332527 +3.969852790e+00 +3.969852790e+00 +7.531985279e+01 +7.531985279e+01 +2.5289e+00 +3.5861e+00 -6.8998e-01 +2.3208e+00 +2.4247e+00 +3.2904e+00 -3.8178e+00 +4.2089e+00 -1.5774e+00 -1.1680e+00 +3.4908e-01 +1.2459e+00 -4.7000e-01 -2.8886e+00 +1.5408e+00 +2.0998e+00 -1.3252e+00 +1.6514e+00 -4.3031e+00 -2.0772e-01
% function evaluation | noise-free fitness - Fopt (-3.552200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.715520229e+01 +6.715520229e+01 -2.880647977e+02 -2.880647977e+02 +4.3085e+00 +1.7307e+00 +4.7585e+00 +1.0013e-01 -3.3956e+00 -1.6355e+00 -4.2621e+00 +1.1490e+00 +5.5614e-01 +1.9243e-01 +5.8153e-01 +4.1710e+00 +1.2011e+00 +4.7191e+00 -4.9570e+00 -4.2104e+00 +3.1463e-01 -3.3675e+00 -4.1082e+00 +1.2351e+00
5 +5.935114354e+01 +5.935114354e+01 -2.958688565e+02 -2.958688565e+02 +5.0109e-01 -1.8668e+00 +4.0514e-01 +3.5340e+00 -4.9680e+00 +4.1389e+00 -2.6254e+00 +2.6133e+00 -1.1250e+00 -2.9307e+00 -4.5633e+00 -2.8627e+00 +4.5688e+00 +4.3356e+00 -3.2689e+00 -3.4758e+00 +2.5392e+00 -2.7053e+00 +2.8512e+00 -3.7434e+00
