% function evaluation | noise-free fitness - Fopt (4.078000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.311110099e+01 +8.311110099e+01 +1.238911010e+02 +4.078000000e+01 -3.5627e+00 -2.9896e+00 -3.2595e+00 +6.7017e-01 -2.0635e+00 +6.5798e-01 -2.7352e+00 +9.0780e-01 +1.6161e+00 +2.4431e+00 +1.0361e+00 +7.4366e-01 +3.8543e+00 -1.4537e+00 -4.1141e+00 +3.8691e+00 +4.5447e+00 +1.4803e+00 -2.2392e+00 -1.6048e+00
382 +7.374469110e+01 +7.374469110e+01 +1.145246911e+02 +4.078000000e+01 -6.9192e-01 -4.5343e+00 -3.5476e+00 -2.9449e+00 -6.3793e-01 +5.2972e-02 +9.6453e-01 -2.2274e+00 +1.2877e+00 +6.7669e-01 +6.7598e-01 +2.9448e+00 -8.8425e-01 -3.6099e+00 +4.3401e+00 -3.1696e+00 -3.1676e+00 +2.5690e+00 -9.6386e-01 +2.5691e+00
1087 +5.515579769e+01 +5.515579769e+01 +9.593579769e+01 +4.078000000e+01 +3.6313e+00 -4.5343e+00 -3.5476e+00 -2.9449e+00 -1.8580e+00 +5.2972e-02 +1.9246e+00 -3.1784e-02 +3.1504e+00 +4.0967e-01 +1.7599e+00 +8.6932e-01 +2.2556e+00 -3.4362e+00 +2.5553e+00 -3.1696e+00 -3.1676e+00 +2.6205e+00 -6.6371e-01 +2.5691e+00
1639 +3.806367612e+01 +3.806367612e+01 +7.884367612e+01 +4.078000000e+01 +4.2043e+00 -4.5343e+00 -3.5476e+00 -2.9449e+00 -6.3793e-01 +5.2972e-02 +2.7753e+00 -3.1784e-02 +3.1504e+00 +6.7669e-01 +6.7598e-01 +8.9736e-01 -8.8425e-01 -3.6099e+00 +5.8599e-01 -3.8628e+00 -1.9065e+00 +1.2899e+00 +5.5294e-01 +2.5691e+00
2502 +2.493531138e+01 +2.493531138e+01 +6.571531138e+01 +4.078000000e+01 +4.2043e+00 -4.5343e+00 -3.5476e+00 -1.9923e+00 -6.3793e-01 +5.2972e-02 +1.9246e+00 -3.1784e-02 +3.1504e+00 +2.0087e-01 +1.7599e+00 -2.4088e-01 +8.6873e-01 -3.6099e+00 +5.8599e-01 -3.1696e+00 -2.7346e+00 +6.9553e-01 +1.1270e+00 +2.1741e+00
11953 +1.326339982e+01 +1.326339982e+01 +5.404339982e+01 +4.078000000e+01 -3.9276e+00 -1.8788e+00 +7.3797e-01 +2.5368e+00 +2.0086e+00 -4.0734e+00 +2.0038e+00 -2.8098e+00 +1.4462e-01 +3.5985e+00 +4.6116e+00 +2.8909e+00 -7.0824e-03 +4.3401e+00 +1.3631e+00 +1.2051e+00 +1.8583e+00 +1.4415e+00 +3.6459e+00 -3.8516e+00
12552 +9.883319014e+00 +9.883319014e+00 +5.066331901e+01 +4.078000000e+01 -3.9276e+00 -2.3112e+00 +7.3797e-01 +2.7513e+00 +2.0086e+00 -4.0734e+00 +2.0038e+00 -2.8098e+00 +1.4462e-01 +3.5985e+00 +4.6116e+00 +2.9808e+00 -7.0824e-03 +4.3401e+00 +7.1015e-01 +6.1261e-01 +1.6999e+00 +1.4415e+00 +3.6459e+00 -3.8516e+00
13545 +6.216354515e+00 +6.216354515e+00 +4.699635452e+01 +4.078000000e+01 -3.9276e+00 -2.6820e+00 +7.3797e-01 +2.9713e+00 +1.6264e+00 -4.0734e+00 +1.7448e+00 -2.8098e+00 -2.2873e-01 +3.7921e+00 +4.6116e+00 +2.4183e+00 +4.0507e-01 +3.5400e+00 +7.1015e-01 +6.1261e-01 +1.6999e+00 +2.1070e+00 +3.1402e+00 -3.8516e+00
14537 +3.776541928e+00 +3.776541928e+00 +4.455654193e+01 +4.078000000e+01 -3.4108e+00 -2.9128e+00 +7.3797e-01 +3.2478e+00 +1.7052e+00 -4.6992e+00 +1.7448e+00 -2.8098e+00 -2.2873e-01 +3.7921e+00 +4.6116e+00 +2.4183e+00 +7.1836e-01 +3.5400e+00 -6.0870e-04 +6.1261e-01 +2.4565e+00 +2.3731e+00 +3.1402e+00 -3.7084e+00
15525 +2.369920241e+00 +2.369920241e+00 +4.314992024e+01 +4.078000000e+01 -3.4108e+00 -3.2785e+00 +7.3797e-01 +3.2478e+00 +1.7052e+00 -4.6992e+00 +1.7448e+00 -2.2819e+00 -2.2873e-01 +4.3933e+00 +4.6116e+00 +2.4183e+00 +7.1836e-01 +3.5400e+00 -6.0870e-04 +6.1261e-01 +2.0047e+00 +2.5867e+00 +3.1402e+00 -3.0647e+00
