% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.630095908e+01 +8.630095908e+01 -9.136990409e+02 -1.000000000e+03 -1.4000e-01 -3.0078e+00 +2.8963e-01 +1.2984e+00 +4.7679e+00 -4.3443e+00 +1.8641e+00 +5.3671e-01 +1.7164e+00 -3.3044e+00 +4.6056e+00 +4.1454e+00 +3.5596e+00 -9.5571e-02 +2.0684e+00 -3.0180e+00 -1.9429e+00 +4.4626e+00 -3.1884e+00 +3.3199e+00
390 +6.881455380e+01 +6.881455380e+01 -9.311854462e+02 -1.000000000e+03 -3.7088e+00 -4.6555e+00 +1.5234e-01 -4.8442e+00 +1.4561e+00 -4.0161e+00 +2.9937e+00 -3.2841e+00 +4.5739e-01 +1.2504e+00 +4.1954e+00 +2.1837e+00 +3.7397e-01 -1.2239e+00 -2.0491e+00 -5.2139e+00 -1.8161e-01 -3.7828e+00 +2.2062e+00 -2.4883e+00
965 +6.209640902e+01 +6.209640902e+01 -9.379035910e+02 -1.000000000e+03 -3.7088e+00 -4.6555e+00 +8.5007e-01 -4.8442e+00 +1.4561e+00 -4.0161e+00 +2.9937e+00 -3.2841e+00 +4.5739e-01 +1.2504e+00 +4.1954e+00 +2.1837e+00 +3.7397e-01 -1.2239e+00 -1.1245e+00 -4.1389e+00 +4.0483e-01 +1.2502e+00 +2.2062e+00 -2.4883e+00
1535 +3.166751894e+01 +3.166751894e+01 -9.683324811e+02 -1.000000000e+03 -4.3186e+00 -4.6555e+00 +1.5234e-01 -4.8442e+00 +1.4561e+00 -4.0161e+00 -4.2686e-01 -3.2841e+00 +8.0056e-01 +1.3862e+00 +4.1954e+00 -2.9697e+00 +3.7397e-01 -1.2239e+00 -1.7562e+00 -5.2139e+00 +2.3063e-01 +5.6733e-03 +2.2062e+00 -2.4883e+00
1913 +2.404266491e+01 +2.404266491e+01 -9.759573351e+02 -1.000000000e+03 -3.7088e+00 -4.6555e+00 +4.1539e-01 -4.8442e+00 +1.4687e+00 -4.0161e+00 -4.2686e-01 -3.2841e+00 +8.0056e-01 +1.3862e+00 +4.1954e+00 -2.9697e+00 +3.7397e-01 -1.2239e+00 -2.0491e+00 -4.9319e+00 +2.0784e+00 +5.6733e-03 +2.2062e+00 -2.4883e+00
2480 +1.491385105e+01 +1.491385105e+01 -9.850861490e+02 -1.000000000e+03 -3.7088e+00 -4.3590e+00 +8.4895e-01 -4.8442e+00 +1.0518e+00 -4.3108e+00 -1.0743e+00 -3.7118e+00 +1.1467e+00 +1.9087e+00 +4.1954e+00 -2.9697e+00 +3.7397e-01 -1.2239e+00 -2.0491e+00 -4.1389e+00 +2.3611e+00 +5.6733e-03 +1.6968e+00 -2.0134e+00
2863 +9.722072277e+00 +9.722072277e+00 -9.902779277e+02 -1.000000000e+03 -3.7033e+00 -3.8779e+00 +1.2794e+00 -4.4208e+00 +1.4561e+00 -4.1440e+00 -4.2686e-01 -3.7118e+00 +1.2216e+00 +1.9087e+00 +4.1954e+00 -2.3630e+00 +3.4803e-01 -1.2239e+00 -2.0491e+00 -4.4913e+00 +2.3611e+00 +5.6733e-03 +1.5349e+00 -2.4883e+00
3816 +5.985036225e+00 +5.985036225e+00 -9.940149638e+02 -1.000000000e+03 -3.7033e+00 -2.8133e+00 +1.2794e+00 -4.4208e+00 +1.4561e+00 -4.1440e+00 -1.0743e+00 -3.7118e+00 +1.2216e+00 +1.9087e+00 +4.1954e+00 -2.1047e+00 +1.2306e+00 -1.2239e+00 -2.0491e+00 -4.1389e+00 +2.3611e+00 +5.6733e-03 +1.1017e+00 -2.4883e+00
4193 +3.951939968e+00 +3.951939968e+00 -9.960480600e+02 -1.000000000e+03 -3.7033e+00 -2.8133e+00 +1.6371e+00 -4.4208e+00 +1.4561e+00 -4.1440e+00 -4.2686e-01 -4.5615e+00 +1.7550e+00 +1.9087e+00 +4.1954e+00 -2.1047e+00 +1.2306e+00 -1.2239e+00 -2.0491e+00 -4.1389e+00 +2.3611e+00 +5.6733e-03 +1.1017e+00 -2.4883e+00
4751 +2.339732667e+00 +2.339732667e+00 -9.976602673e+02 -1.000000000e+03 -3.7033e+00 -2.8133e+00 +1.6371e+00 -4.4208e+00 +1.4561e+00 -4.1440e+00 -1.0743e+00 -4.5615e+00 +2.2768e+00 +2.2871e+00 +4.1954e+00 -1.1435e+00 +1.2306e+00 -9.6174e-01 -2.0491e+00 -3.7526e+00 +2.5765e+00 +5.6733e-03 +1.1017e+00 -2.4883e+00
% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.575884660e+01 +8.575884660e+01 +1.085758847e+03 +1.000000000e+03 +1.4292e+00 -2.6020e+00 -2.6872e+00 +3.3915e+00 +3.1284e+00 +6.5852e-01 +3.3028e+00 -3.2072e-01 -2.0892e+00 +4.8103e+00 +5.3683e-01 -3.9931e+00 +1.3044e+00 -6.0515e-01 +2.3586e+00 +1.4584e+00 -4.4613e+00 -2.3801e+00 +1.4474e+00 -4.7741e+00
400 +7.546473631e+01 +7.546473631e+01 +1.075464736e+03 +1.000000000e+03 +4.0651e-02 -2.6663e+00 +1.8884e+00 -2.9994e+00 +6.2061e-01 -7.0497e-01 +1.7029e+00 +2.6164e+00 +2.0459e+00 -3.3188e-01 -1.2820e+00 +1.2517e+00 +2.5903e+00 -4.3439e+00 +1.4864e+00 -4.7725e+00 +3.1083e+00 -4.1803e+00 +3.0660e+00 +1.9335e+00
