% function evaluation | noise-free fitness - Fopt (-5.465000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.056168004e+05 +3.056168004e+05 +3.050703004e+05 -5.465000000e+02 +4.7998e+00 +1.4001e+00 +2.7025e+00 -1.3253e+00 -3.3271e+00 -8.5297e-01 -2.5065e+00 -3.4560e+00 -1.4907e+00 -2.6026e+00 +4.7242e+00 -2.6528e+00 -2.5877e+00 +2.8190e+00 -3.1255e+00 +2.4578e+00 +1.8683e-01 +4.0882e+00 +2.0161e+00 +3.7614e+00
377 +9.641726555e+03 +9.641726555e+03 +9.095226555e+03 -5.465000000e+02 +3.2215e+00 +1.9022e+00 -4.7365e+00 -7.3460e-01 +2.0555e+00 -1.0259e+00 +1.7714e-01 +3.7270e+00 -2.2590e+00 +2.8963e+00 -1.5762e+00 +3.5903e+00 +1.9450e+00 -2.4762e-01 +6.4098e-01 -1.6645e+00 +7.1085e-01 -7.9496e-01 -3.6590e-01 +4.0309e-01
945 +4.603256826e+03 +4.603256826e+03 +4.056756826e+03 -5.465000000e+02 +3.2215e+00 -2.8054e-01 +1.8586e+00 -3.2470e-01 -2.1994e+00 -4.4178e+00 +1.7714e-01 +3.7270e+00 -2.2590e+00 +2.8963e+00 -1.5762e+00 +3.5903e+00 +1.9450e+00 -2.4762e-01 +6.4098e-01 -1.6645e+00 +7.1085e-01 -7.9496e-01 -1.9767e+00 +4.0309e-01
1130 +3.039280707e+03 +3.039280707e+03 +2.492780707e+03 -5.465000000e+02 +3.2215e+00 -2.8054e-01 +1.8586e+00 -3.2470e-01 -2.1994e+00 -4.4178e+00 +1.7714e-01 +3.7270e+00 -8.3376e-01 +2.8963e+00 -6.4540e-01 +3.5903e+00 +1.9450e+00 -2.4762e-01 +6.4098e-01 -1.6645e+00 +7.1085e-01 -7.9496e-01 -2.7369e+00 +4.0309e-01
1325 +1.682985584e+03 +1.682985584e+03 +1.136485584e+03 -5.465000000e+02 +3.2215e+00 -2.8054e-01 +1.8586e+00 -3.2470e-01 -1.5218e+00 -1.0259e+00 +1.7714e-01 +3.7270e+00 -8.3376e-01 +2.8963e+00 -6.4540e-01 +3.5903e+00 +1.9450e+00 -2.4762e-01 +6.4098e-01 -1.6645e+00 +7.1085e-01 -7.9496e-01 -2.7369e+00 +4.0309e-01
1520 +1.547047925e+03 +1.547047925e+03 +1.000547925e+03 -5.465000000e+02 +3.2215e+00 -2.8054e-01 +1.8586e+00 -7.3460e-01 +2.0555e+00 -1.0259e+00 +1.7714e-01 +3.7270e+00 -8.3376e-01 +2.8963e+00 -6.4540e-01 +3.5903e+00 +1.9450e+00 -2.4762e-01 +6.4098e-01 -1.6645e+00 +7.1085e-01 -7.9496e-01 -2.7369e+00 +4.0309e-01
1705 +6.839126776e+02 +6.839126776e+02 +1.374126776e+02 -5.465000000e+02 +3.2215e+00 -1.9270e-01 +1.8586e+00 -3.2470e-01 -1.5218e+00 -1.0259e+00 +1.7714e-01 +3.3012e+00 -8.3376e-01 +2.8963e+00 -6.4540e-01 +2.6586e+00 +1.9450e+00 -2.4762e-01 +1.6849e+00 -1.6645e+00 +7.1085e-01 -7.9496e-01 -2.7369e+00 +4.0309e-01
1885 +5.481025592e+02 +5.481025592e+02 +1.602559190e+00 -5.465000000e+02 +3.2215e+00 -2.8054e-01 +1.9104e+00 -7.3460e-01 +2.0555e+00 -1.0259e+00 +1.7714e-01 +3.3012e+00 -8.3376e-01 +2.8963e+00 -6.4540e-01 +2.6586e+00 +1.9450e+00 -2.4762e-01 +6.4098e-01 -1.6645e+00 +7.1085e-01 -7.9496e-01 -2.7369e+00 +4.0309e-01
2072 +3.923043503e+02 +3.923043503e+02 -1.541956497e+02 -5.465000000e+02 +2.8849e+00 -2.8054e-01 +1.8586e+00 -8.6489e-01 -5.7337e-01 -1.0259e+00 +1.7714e-01 +3.1589e+00 -8.3376e-01 +2.8963e+00 -6.4540e-01 +2.6586e+00 +1.9450e+00 -2.4762e-01 +6.4098e-01 -1.6645e+00 +4.0031e-01 -7.2740e-01 -2.7369e+00 +4.0309e-01
2647 +1.848318083e+02 +1.848318083e+02 -3.616681917e+02 -5.465000000e+02 +2.8849e+00 -2.8054e-01 +1.8586e+00 -3.2470e-01 +2.0062e+00 -1.0259e+00 +1.7714e-01 +3.1589e+00 -8.3376e-01 +2.8963e+00 -6.4540e-01 +2.6586e+00 +1.9450e+00 -2.4762e-01 +6.4098e-01 -1.6645e+00 +7.1085e-01 -7.9496e-01 -1.9767e+00 +1.4814e+00
